word;frequency;cobertura;word_order
eat;0.0037;0.0037;1
oh;0.0037;0.0074;2
cannot;0.0033;0.0107;3
go;0.0033;0.0139;4
um;0.0029;0.0168;5
girl;0.0025;0.0193;6
get;0.0025;0.0217;7
ah;0.0025;0.0242;8
fall;0.0025;0.0266;9
ya;0.0025;0.0291;10
look;0.0025;0.0315;11
jump;0.0025;0.034;12
let;0.0025;0.0365;13
sit;0.0025;0.0389;14
call;0.0020;0.041;15
dog;0.0020;0.043;16
yours;0.0020;0.0451;17
yes;0.0020;0.0471;18
bite;0.0020;0.0492;19
come;0.0020;0.0512;20
mom;0.0020;0.0533;21
put;0.0020;0.0553;22
find;0.0020;0.0574;23
shut;0.0020;0.0594;24
bed;0.0020;0.0615;25
need;0.0020;0.0635;26
drink;0.0020;0.0655;27
like;0.0020;0.0676;28
tell;0.0016;0.0692;29
want;0.0016;0.0709;30
mean;0.0016;0.0725;31
toy;0.0016;0.0741;32
mine;0.0016;0.0758;33
right;0.0016;0.0774;34
down;0.0016;0.0791;35
inside;0.0016;0.0807;36
run;0.0016;0.0823;37
wait;0.0016;0.084;38
fly;0.0016;0.0856;39
mommy;0.0016;0.0873;40
open;0.0016;0.0889;41
there;0.0016;0.0905;42
pick;0.0016;0.0922;43
play;0.0016;0.0938;44
cut;0.0016;0.0955;45
back;0.0016;0.0971;46
hello;0.0016;0.0987;47
try;0.0016;0.1004;48
do;0.0016;0.102;49
move;0.0016;0.1036;50
have;0.0016;0.1053;51
off;0.0016;0.1069;52
blue;0.0012;0.1082;53
hold;0.0012;0.1094;54
give;0.0012;0.1106;55
fix;0.0012;0.1118;56
side;0.0012;0.1131;57
tree;0.0012;0.1143;58
away;0.0012;0.1155;59
lift;0.0012;0.1168;60
make;0.0012;0.118;61
hear;0.0012;0.1192;62
push;0.0012;0.1204;63
leave;0.0012;0.1217;64
boy;0.0012;0.1229;65
so;0.0012;0.1241;66
turtle;0.0012;0.1254;67
turn;0.0012;0.1266;68
little;0.0012;0.1278;69
that;0.0012;0.129;70
say;0.0012;0.1303;71
show;0.0012;0.1315;72
her;0.0012;0.1327;73
What;0.0012;0.134;74
help;0.0012;0.1352;75
foot;0.0012;0.1364;76
horse;0.0012;0.1376;77
paint;0.0012;0.1389;78
please;0.0012;0.1401;79
up;0.0012;0.1413;80
Huh;0.0012;0.1426;81
next;0.0012;0.1438;82
baby;0.0012;0.145;83
ride;0.0012;0.1463;84
out;0.0012;0.1475;85
cause;0.0012;0.1487;86
red;0.0012;0.1499;87
see;0.0012;0.1512;88
i;0.0012;0.1524;89
green;0.0008;0.1532;90
over;0.0008;0.154;91
better;0.0008;0.1549;92
one;0.0008;0.1557;93
top;0.0008;0.1565;94
Big;0.0008;0.1573;95
stop;0.0008;0.1581;96
bad;0.0008;0.159;97
catch;0.0008;0.1598;98
head;0.0008;0.1606;99
guy;0.0008;0.1614;100
remember;0.0008;0.1622;101
swing;0.0008;0.163;102
first;0.0008;0.1639;103
only;0.0008;0.1647;104
myself;0.0008;0.1655;105
It;0.0008;0.1663;106
around;0.0008;0.1671;107
throw;0.0008;0.168;108
lot;0.0008;0.1688;109
all;0.0008;0.1696;110
more;0.0008;0.1704;111
fire;0.0008;0.1712;112
