word;frequency;cobertura;word_order
yeah;0.0045;0.0045;1
go;0.0033;0.0078;2
yes;0.0020;0.0098;3
want;0.0016;0.0115;4
mine;0.0016;0.0131;5
finish;0.0016;0.0147;6
off;0.0016;0.0164;7
that;0.0012;0.0176;8
What;0.0012;0.0188;9
help;0.0012;0.0201;10
out;0.0012;0.0213;11
i;0.0012;0.0225;12
It;0.0008;0.0234;13
more;0.0008;0.0242;14
no;0.0008;0.025;15
here;0.0004;0.0254;16
my;0.0004;0.0258;17
in;0.0004;0.0262;18
the;0.0004;0.0266;19
on;0.0004;0.027;20
you;0.0004;0.0274;21
a;0.0004;0.0279;22
some;0.0004;0.0283;23
be;0.0004;0.0287;24
