word;frequency;cobertura;word_order
yeah;0.0045;0.0045;1
eat;0.0037;0.0082;2
oh;0.0037;0.0119;3
cannot;0.0033;0.0152;4
okay;0.0033;0.0184;5
go;0.0033;0.0217;6
break;0.0029;0.0246;7
yum;0.0029;0.0274;8
um;0.0029;0.0303;9
mum;0.0025;0.0328;10
get;0.0025;0.0352;11
ah;0.0025;0.0377;12
stick;0.0025;0.0401;13
look;0.0025;0.0426;14
mummy;0.0025;0.0451;15
jump;0.0025;0.0475;16
let;0.0025;0.05;17
sit;0.0025;0.0524;18
yours;0.0020;0.0545;19
yes;0.0020;0.0565;20
bite;0.0020;0.0586;21
come;0.0020;0.0606;22
put;0.0020;0.0627;23
find;0.0020;0.0647;24
need;0.0020;0.0668;25
drink;0.0020;0.0688;26
like;0.0020;0.0709;27
tell;0.0016;0.0725;28
want;0.0016;0.0741;29
mine;0.0016;0.0758;30
right;0.0016;0.0774;31
down;0.0016;0.0791;32
run;0.0016;0.0807;33
wait;0.0016;0.0823;34
open;0.0016;0.084;35
friend;0.0016;0.0856;36
take;0.0016;0.0873;37
finish;0.0016;0.0889;38
there;0.0016;0.0905;39
pick;0.0016;0.0922;40
naughty;0.0016;0.0938;41
play;0.0016;0.0955;42
funny;0.0016;0.0971;43
back;0.0016;0.0987;44
hello;0.0016;0.1004;45
do;0.0016;0.102;46
move;0.0016;0.1036;47
have;0.0016;0.1053;48
off;0.0016;0.1069;49
give;0.0012;0.1082;50
wash;0.0012;0.1094;51
away;0.0012;0.1106;52
make;0.0012;0.1118;53
push;0.0012;0.1131;54
leave;0.0012;0.1143;55
boy;0.0012;0.1155;56
so;0.0012;0.1168;57
turn;0.0012;0.118;58
think;0.0012;0.1192;59
little;0.0012;0.1204;60
that;0.0012;0.1217;61
gotta;0.0012;0.1229;62
say;0.0012;0.1241;63
show;0.0012;0.1254;64
her;0.0012;0.1266;65
hey;0.0012;0.1278;66
yummy;0.0012;0.129;67
What;0.0012;0.1303;68
help;0.0012;0.1315;69
please;0.0012;0.1327;70
up;0.0012;0.134;71
nah;0.0012;0.1352;72
next;0.0012;0.1364;73
baby;0.0012;0.1376;74
out;0.0012;0.1389;75
see;0.0012;0.1401;76
i;0.0012;0.1413;77
sorry;0.0008;0.1422;78
green;0.0008;0.143;79
over;0.0008;0.1438;80
better;0.0008;0.1446;81
one;0.0008;0.1454;82
Big;0.0008;0.1463;83
stop;0.0008;0.1471;84
yep;0.0008;0.1479;85
catch;0.0008;0.1487;86
head;0.0008;0.1495;87
dig;0.0008;0.1503;88
quick;0.0008;0.1512;89
guy;0.0008;0.152;90
remember;0.0008;0.1528;91
first;0.0008;0.1536;92
shoe;0.0008;0.1544;93
only;0.0008;0.1553;94
It;0.0008;0.1561;95
around;0.0008;0.1569;96
throw;0.0008;0.1577;97
all;0.0008;0.1585;98
more;0.0008;0.1594;99
bit;0.0008;0.1602;100
step;0.0008;0.161;101
watch;0.0008;0.1618;102
dad;0.0008;0.1626;103
bring;0.0008;0.1635;104
ha;0.0008;0.1643;105
Because;0.0008;0.1651;106
no;0.0008;0.1659;107
bye;0.0008;0.1667;108
ball;0.0008;0.1676;109
know;0.0008;0.1684;110
home;0.0008;0.1692;111
stay;0.0008;0.17;112
four;0.0004;0.1704;113
new;0.0004;0.1708;114
here;0.0004;0.1712;115
hole;0.0004;0.1717;116
me;0.0004;0.1721;117
my;0.0004;0.1725;118
thing;0.0004;0.1729;119
how;0.0004;0.1733;120
then;0.0004;0.1737;121
them;0.0004;0.1741;122
they;0.0004;0.1745;123
spider;0.0004;0.1749;124
too;0.0004;0.1753;125
Spiderman;0.0004;0.1757;126
we;0.0004;0.1762;127
wa;0.0004;0.1766;128
three;0.0004;0.177;129
seven;0.0004;0.1774;130
in;0.0004;0.1778;131
if;0.0004;0.1782;132
hand;0.0004;0.1786;133
the;0.0004;0.179;134
just;0.0004;0.1794;135
hat;0.0004;0.1798;136
people;0.0004;0.1803;137
for;0.0004;0.1807;138
bottom;0.0004;0.1811;139
way;0.0004;0.1815;140
fell;0.0004;0.1819;141
cool;0.0004;0.1823;142
brother;0.0004;0.1827;143
everybody;0.0004;0.1831;144
today;0.0004;0.1835;145
car;0.0004;0.1839;146
can;0.0004;0.1844;147
man;0.0004;0.1848;148
still;0.0004;0.1852;149
lunch;0.0004;0.1856;150
not;0.0004;0.186;151
now;0.0004;0.1864;152
name;0.0004;0.1868;153
than;0.0004;0.1872;154
and;0.0004;0.1876;155
saw;0.0004;0.188;156
where;0.0004;0.1884;157
seat;0.0004;0.1889;158
those;0.0004;0.1893;159
these;0.0004;0.1897;160
good;0.0004;0.1901;161
two;0.0004;0.1905;162
very;0.0004;0.1909;163
when;0.0004;0.1913;164
on;0.0004;0.1917;165
your;0.0004;0.1921;166
with;0.0004;0.1925;167
as;0.0004;0.193;168
at;0.0004;0.1934;169
again;0.0004;0.1938;170
you;0.0004;0.1942;171
time;0.0004;0.1946;172
to;0.0004;0.195;173
a;0.0004;0.1954;174
house;0.0004;0.1958;175
his;0.0004;0.1962;176
him;0.0004;0.1966;177
else;0.0004;0.1971;178
bin;0.0004;0.1975;179
some;0.0004;0.1979;180
be;0.0004;0.1983;181
into;0.0004;0.1987;182
us;0.0004;0.1991;183
this;0.0004;0.1995;184
apple;0.0004;0.1999;185
about;0.0004;0.2003;186
of;0.0004;0.2007;187
high;0.0004;0.2011;188
something;0.0004;0.2016;189
our;0.0004;0.202;190
could;0.0004;0.2024;191
keep;0.0004;0.2028;192
which;0.0004;0.2032;193
who;0.0004;0.2036;194
why;0.0004;0.204;195
should;0.0004;0.2044;196
she;0.0004;0.2048;197
will;0.0004;0.2052;198
well;0.0004;0.2057;199
other;0.0004;0.2061;200
kick;0.0004;0.2065;201
five;0.0004;0.2069;202
but;0.0004;0.2073;203
bum;0.0004;0.2077;204
he;0.0004;0.2081;205
book;0.0004;0.2085;206
