word;frequency;cobertura;word_order
eat;0.0037;0.0037;1
go;0.0033;0.007;2
get;0.0025;0.0094;3
jump;0.0025;0.0119;4
dog;0.0020;0.0139;5
come;0.0020;0.016;6
mom;0.0020;0.018;7
put;0.0020;0.0201;8
miss;0.0020;0.0221;9
like;0.0020;0.0242;10
want;0.0016;0.0258;11
friend;0.0016;0.0274;12
take;0.0016;0.0291;13
there;0.0016;0.0307;14
play;0.0016;0.0324;15
back;0.0016;0.034;16
rabbit;0.0016;0.0356;17
do;0.0016;0.0373;18
have;0.0016;0.0389;19
bear;0.0016;0.0406;20
give;0.0012;0.0418;21
make;0.0012;0.043;22
brown;0.0012;0.0442;23
cat;0.0012;0.0455;24
birthday;0.0012;0.0467;25
so;0.0012;0.0479;26
little;0.0012;0.0492;27
that;0.0012;0.0504;28
say;0.0012;0.0516;29
her;0.0012;0.0528;30
up;0.0012;0.0541;31
next;0.0012;0.0553;32
out;0.0012;0.0565;33
see;0.0012;0.0578;34
i;0.0012;0.059;35
over;0.0008;0.0598;36
one;0.0008;0.0606;37
Big;0.0008;0.0615;38
it;0.0008;0.0623;39
bunny;0.0008;0.0631;40
love;0.0008;0.0639;41
first;0.0008;0.0647;42
outside;0.0008;0.0655;43
lot;0.0008;0.0664;44
all;0.0008;0.0672;45
egg;0.0008;0.068;46
fun;0.0008;0.0688;47
dad;0.0008;0.0696;48
ha;0.0008;0.0705;49
Because;0.0008;0.0713;50
ball;0.0008;0.0721;51
know;0.0008;0.0729;52
home;0.0008;0.0737;53
new;0.0004;0.0741;54
me;0.0004;0.0746;55
my;0.0004;0.075;56
after;0.0004;0.0754;57
then;0.0004;0.0758;58
them;0.0004;0.0762;59
school;0.0004;0.0766;60
they;0.0004;0.077;61
too;0.0004;0.0774;62
best;0.0004;0.0778;63
we;0.0004;0.0782;64
wa;0.0004;0.0787;65
in;0.0004;0.0791;66
if;0.0004;0.0795;67
the;0.0004;0.0799;68
people;0.0004;0.0803;69
for;0.0004;0.0807;70
two;0.0004;0.0811;71
cool;0.0004;0.0815;72
brother;0.0004;0.0819;73
water;0.0004;0.0823;74
today;0.0004;0.0828;75
can;0.0004;0.0832;76
not;0.0004;0.0836;77
and;0.0004;0.084;78
saw;0.0004;0.0844;79
good;0.0004;0.0848;80
when;0.0004;0.0852;81
on;0.0004;0.0856;82
favorite;0.0004;0.086;83
with;0.0004;0.0864;84
an;0.0004;0.0868;85
at;0.0004;0.0873;86
field;0.0004;0.0877;87
you;0.0004;0.0881;88
time;0.0004;0.0885;89
pool;0.0004;0.0889;90
to;0.0004;0.0893;91
very;0.0004;0.0897;92
a;0.0004;0.0901;93
house;0.0004;0.0905;94
really;0.0004;0.0909;95
pretty;0.0004;0.0914;96
his;0.0004;0.0918;97
bird;0.0004;0.0922;98
last;0.0004;0.0926;99
game;0.0004;0.093;100
some;0.0004;0.0934;101
be;0.0004;0.0938;102
into;0.0004;0.0942;103
nice;0.0004;0.0946;104
this;0.0004;0.095;105
frog;0.0004;0.0955;106
sister;0.0004;0.0959;107
of;0.0004;0.0963;108
day;0.0004;0.0967;109
our;0.0004;0.0971;110
she;0.0004;0.0975;111
will;0.0004;0.0979;112
buy;0.0004;0.0983;113
but;0.0004;0.0987;114
he;0.0004;0.0991;115
book;0.0004;0.0995;116
