word;quantity;frequency
tickies;1;0.0007
bless;1;0.0007
actually;1;0.0007
domino;1;0.0007
course;1;0.0007
mine;6;0.0044
find;5;0.0037
doo;1;0.0007
pram;2;0.0015
we;1;0.0007
downstairs;1;0.0007
all_gone;4;0.003
paddle;1;0.0007
rosebud;1;0.0007
baba;1;0.0007
chocolate;1;0.0007
do;4;0.003
Gerry;1;0.0007
just;1;0.0007
Jenny;6;0.0044
Daddy;6;0.0044
look;4;0.003
skin;1;0.0007
Marmite;3;0.0022
today;1;0.0007
lorry;1;0.0007
man;1;0.0007
push;3;0.0022
dress;2;0.0015
leaf;1;0.0007
cannot;7;0.0052
Goldilocks;1;0.0007
jug;1;0.0007
dear;2;0.0015
policeman;1;0.0007
cardie;1;0.0007
sit;6;0.0044
red;2;0.0015
everybody;2;0.0015
little;1;0.0007
map;1;0.0007
football;1;0.0007
clothe;3;0.0022
close;4;0.003
turn;4;0.003
Ben;1;0.0007
like;5;0.0037
sucker;1;0.0007
com;1;0.0007
boy;2;0.0015
jelly;2;0.0015
lounge;1;0.0007
stock;1;0.0007
fry;1;0.0007
beat;4;0.003
naughty;2;0.0015
Cape;1;0.0007
kitten;2;0.0015
cake;2;0.0015
hat;2;0.0015
yes;2;0.0015
nest;1;0.0007
holiday;1;0.0007
fee;2;0.0015
toe;3;0.0022
lie;2;0.0015
warm;2;0.0015
comb;2;0.0015
six;1;0.0007
Wednesday;1;0.0007
lady;2;0.0015
zoo;1;0.0007
that;3;0.0022
slipper;1;0.0007
belt;1;0.0007
draw;2;0.0015
drive;1;0.0007
tear;4;0.003
put;5;0.0037
floor;1;0.0007
wont;5;0.0037
choose;1;0.0007
rain;4;0.003
bring;2;0.0015
pen;3;0.0022
drop;3;0.0022
storybook;1;0.0007
cough;2;0.0015
small;1;0.0007
penny;2;0.0015
break;2;0.0015
throw;2;0.0015
morrow;1;0.0007
middle;1;0.0007
keep;3;0.0022
say;2;0.0015
prune;2;0.0015
medicine;1;0.0007
tire;3;0.0022
balloon;1;0.0007
pussy;2;0.0015
need;3;0.0022
Mummy;4;0.003
post;2;0.0015
from;1;0.0007
chin;1;0.0007
hear;2;0.0015
pretty;2;0.0015
birdie;3;0.0022
doggie;2;0.0015
supper;2;0.0015
string;1;0.0007
bird;1;0.0007
wireless;1;0.0007
cross;2;0.0015
the;1;0.0007
bark;1;0.0007
with;1;0.0007
sticker;1;0.0007
I;1;0.0007
asleep;3;0.0022
will;1;0.0007
high;1;0.0007
first;2;0.0015
pencil;1;0.0007
bag;2;0.0015
leave;3;0.0022
hole;1;0.0007
Wendy;1;0.0007
how;1;0.0007
Lucky;4;0.003
ready;2;0.0015
lawn;1;0.0007
Steven;1;0.0007
goodbye;1;0.0007
up;3;0.0022
Lockett;1;0.0007
home;1;0.0007
kid;1;0.0007
show;3;0.0022
read;3;0.0022
bunny;3;0.0022
Kipper;1;0.0007
pottie;1;0.0007
mouth;1;0.0007
sandwich;2;0.0015
forward;2;0.0015
Susie;1;0.0007
lap;2;0.0015
scarf;1;0.0007
open;5;0.0037
comfortable;2;0.0015
think;2;0.0015
both;1;0.0007
cook;2;0.0015
dive;1;0.0007
spider;1;0.0007
quack;2;0.0015
across;1;0.0007
snake;2;0.0015
pick;1;0.0007
girl;3;0.0022
dad;4;0.003
now;1;0.0007
outside;2;0.0015
bright;1;0.0007
wash;2;0.0015
all;2;0.0015
bite;3;0.0022
bib;1;0.0007
Stockport;1;0.0007
swim;1;0.0007
name;1;0.0007
more;2;0.0015
Town;2;0.0015
sick;2;0.0015
walk;2;0.0015
and;1;0.0007
car;1;0.0007
upside;1;0.0007
stair;1;0.0007
flat;1;0.0007
this;1;0.0007
good;1;0.0007
Lisa;1;0.0007
sweetie;2;0.0015
can;1;0.0007
pot;1;0.0007
pinkie;1;0.0007
hold;3;0.0022
pop;1;0.0007
blow;4;0.003
cover;4;0.003
lavatory;1;0.0007
vest;1;0.0007
upstairs;4;0.003
christmas;2;0.0015
pajama;1;0.0007
further;1;0.0007
crispies;1;0.0007
spill;1;0.0007
spade;1;0.0007
kind;1;0.0007
love;2;0.0015
corner;1;0.0007
purse;2;0.0015
when;1;0.0007
