word;quantity;frequency
putt;1;0.0001
course;1;0.0001
fix;10;0.0011
all_gone;7;0.0008
pen;4;0.0005
Old_Macdonald;4;0.0005
silly;2;0.0002
horsies;1;0.0001
Friday;1;0.0001
policeman;2;0.0002
diesel;8;0.0009
stamp;5;0.0006
toe;4;0.0005
welly;1;0.0001
close;6;0.0007
wag;5;0.0006
stay;9;0.001
Bouncing_Ben;2;0.0002
naughty;11;0.0012
toast;5;0.0006
Father_Christmas;2;0.0002
yes;6;0.0007
tow;7;0.0008
bread;5;0.0006
chippie;1;0.0001
Molly;2;0.0002
frighten;8;0.0009
junk;1;0.0001
den;3;0.0003
put;7;0.0008
case;1;0.0001
hear;5;0.0006
Chloe;1;0.0001
Peter_Rabbit;4;0.0005
Holly;3;0.0003
mouse;3;0.0003
delivery;1;0.0001
Zimmy;1;0.0001
baby;12;0.0014
tread;5;0.0006
flat;2;0.0002
Misses;1;0.0001
nursery;5;0.0006
dig;5;0.0006
turtle;2;0.0002
Mister_Bodger;1;0.0001
Pippa;1;0.0001
trough;2;0.0002
goose;7;0.0008
Boko;4;0.0005
Mr_Fussy;2;0.0002
froggie;7;0.0008
jack_in_a_box;3;0.0003
Orton_Orange;1;0.0001
mum;13;0.0015
Louise_the_duck;2;0.0002
brick;11;0.0012
ladder;4;0.0005
nosy;2;0.0002
curl;3;0.0003
Rois;1;0.0001
mucky;3;0.0003
moment;1;0.0001
noisy;6;0.0007
Granny;3;0.0003
knick;4;0.0005
right;6;0.0007
more;2;0.0002
Elton_John;2;0.0002
branch;2;0.0002
car;2;0.0002
penny;4;0.0005
cocakdoodledoo;1;0.0001
scissor;2;0.0002
Aston_Villa;1;0.0001
bottom;5;0.0006
hurry;4;0.0005
coughy;1;0.0001
Nanny;5;0.0006
Man_united;3;0.0003
bang;12;0.0014
Spice_girls;2;0.0002
solid;1;0.0001
teddy;14;0.0016
when;1;0.0001
buzzy;2;0.0002
Tessy;1;0.0001
fight;4;0.0005
wand;1;0.0001
get;7;0.0008
side;3;0.0003
round;10;0.0011
Grand_Old_Duke_York;1;0.0001
touch;7;0.0008
cry;6;0.0007
seaside;4;0.0005
Nicole;10;0.0011
borrow;5;0.0006
after;1;0.0001
cheerfully;1;0.0001
Henry;5;0.0006
Santa;1;0.0001
yellow;8;0.0009
hop;4;0.0005
itch;1;0.0001
keep;8;0.0009
shape;3;0.0003
Kathy;1;0.0001
Carla;2;0.0002
stick;8;0.0009
kite;4;0.0005
work;6;0.0007
over;7;0.0008
crisp;4;0.0005
kid;3;0.0003
Mister_badger;2;0.0002
sticky;5;0.0006
ad;1;0.0001
china;2;0.0002
Aunty_Cath;2;0.0002
Glor;1;0.0001
okay;8;0.0009
Mister_Mean;1;0.0001
Gran;2;0.0002
hatch;1;0.0001
Gromit;2;0.0002
Alf;1;0.0001
celebrate;1;0.0001
listen;6;0.0007
nought;2;0.0002
um;10;0.0011
hot;8;0.0009
duff;1;0.0001
Curly;6;0.0007
mess;5;0.0006
Little_Brumm;4;0.0005
dickey;1;0.0001
either;4;0.0005
dirt;2;0.0002
sea;2;0.0002
Wendolene;1;0.0001
clap;3;0.0003
m;4;0.0005
fringe;1;0.0001
thirteen;3;0.0003
go;9;0.001
wild;1;0.0001
come;7;0.0008
Thomas_the_Tank;5;0.0006
bogey;2;0.0002
Meg;3;0.0003
battery;2;0.0002
speed;2;0.0002
Tih_Bem;1;0.0001
warmie;1;0.0001
look;8;0.0009
slimy;2;0.0002
Mr_Mischief;3;0.0003
pancake;1;0.0001
sink;5;0.0006
London;1;0.0001
knee;7;0.0008
wind;5;0.0006
lady;7;0.0008
sixteen;2;0.0002
pilot;1;0.0001
signal;2;0.0002
fiddle;2;0.0002
pottie;3;0.0003
wizard;3;0.0003
piccolo;1;0.0001
fill;5;0.0006
sausage;4;0.0005
sweetheart;2;0.0002
piece;6;0.0007
boy;10;0.0011
Andy;3;0.0003
pat;6;0.0007
smack;3;0.0003
Bisto;2;0.0002
oh;13;0.0015
past;7;0.0008
rocket;1;0.0001
ribbon;2;0.0002
because;4;0.0005
fast;7;0.0008
fiddler;1;0.0001
milly;3;0.0003
meow;2;0.0002
feel;4;0.0005
Jean;3;0.0003
mummie;9;0.001
sorry;5;0.0006
rectangle;1;0.0001
Mr_Wrong;1;0.0001
key;4;0.0005
spray;4;0.0005
hoop;1;0.0001
nee;4;0.0005
Yolanda;4;0.0005
giant;2;0.0002
have_to;10;0.0011
bear;7;0.0008
order;1;0.0001
Bramwell_Brown;5;0.0006
sneeze;3;0.0003
Sylvia;2;0.0002
talcum;2;0.0002
stethoscope;1;0.0001
push;8;0.0009
breakdown;3;0.0003
dread;2;0.0002
Toy_story;2;0.0002
Mitchell;1;0.0001
say;6;0.0007
P_C_Selby;1;0.0001
well;2;0.0002
tights;1;0.0001
seek;4;0.0005
Munching_Mike;2;0.0002
Old_Bear;6;0.0007
Lynn;2;0.0002
funny;6;0.0007
brum;6;0.0007
tictacky;1;0.0001
d;4;0.0005
tip;8;0.0009
Ribena;4;0.0005
cattie;2;0.0002
Schumacher;1;0.0001
ponytail;1;0.0001
Jingle_Bells;1;0.0001
soup;4;0.0005
stirrup;1;0.0001
beneath;1;0.0001
spider;5;0.0006
Disney;2;0.0002
lemonade;5;0.0006
do;9;0.001
hat;11;0.0012
crisis;1;0.0001
Andrew_pants;1;0.0001
bull;2;0.0002
Aunty_Letty;1;0.0001
crawl;5;0.0006
clumsy;3;0.0003
Tyrannadon;2;0.0002
chicken;7;0.0008
smartie;3;0.0003
talk;4;0.0005
Grandpa;9;0.001
la;2;0.0002
shampoo;2;0.0002
kitchen;2;0.0002
stir;4;0.0005
muffin;1;0.0001
complicate;1;0.0001
Ted;3;0.0003
Bill;2;0.0002
meet;6;0.0007
hold;5;0.0006
bouncer;2;0.0002
like;5;0.0006
cow;8;0.0009
poo;8;0.0009
Martin;2;0.0002
h;2;0.0002
alive;2;0.0002
Meh_Wup;1;0.0001
zap;2;0.0002
Babe;4;0.0005
fire;6;0.0007
Daddy;16;0.0018
Kings;1;0.0001
Thompson_twins;1;0.0001
dock;1;0.0001
Pongo;3;0.0003
lean;3;0.0003
cold;7;0.0008
carpet;1;0.0001
loo;1;0.0001
move;7;0.0008
happy;3;0.0003
Pudsy_Bear;5;0.0006
as_well;6;0.0007
dump;5;0.0006
pasta;4;0.0005
salt;5;0.0006
br;1;0.0001
stew;1;0.0001
space;1;0.0001
swan;2;0.0002
princess;1;0.0001
wine;2;0.0002
have;4;0.0005
mama;6;0.0007
Bessy;1;0.0001
tail;4;0.0005
Blackie;1;0.0001
bash;9;0.001
remember;2;0.0002
rid;5;0.0006
kneel;3;0.0003
anyway;1;0.0001
watch;12;0.0014
Syrup;5;0.0006
Andy_Cole;2;0.0002
porridge;4;0.0005
fine;3;0.0003
squash;8;0.0009
closer;2;0.0002
think;6;0.0007
eyedrop;1;0.0001
dry;6;0.0007
wee;9;0.001
hard;5;0.0006
bruise;3;0.0003
cafe;3;0.0003
poem;1;0.0001
Majorca;3;0.0003
rain;6;0.0007
drink;8;0.0009
x;2;0.0002
road;2;0.0002
minicar;1;0.0001
coach;3;0.0003
nest;2;0.0002
Doctor_Dodson;1;0.0001
peg;2;0.0002
harrow;1;0.0001
horse;2;0.0002
sleep;9;0.001
cupboard;1;0.0001
windy;5;0.0006
color;7;0.0008
Hangle;2;0.0002
Sammy_Seal;1;0.0001
Andy_Pandy;2;0.0002
Robbie;2;0.0002
scoop;5;0.0006
Hush_Pup;1;0.0001
puff;7;0.0008
glen;2;0.0002
Paf;2;0.0002
Billy_bear;2;0.0002
film;1;0.0001
kangaroo;5;0.0006
gotta;9;0.001
share;1;0.0001
Wicked_Witch;1;0.0001
alligator;1;0.0001
Cleo;2;0.0002
pooed;5;0.0006
Jackie;2;0.0002
tower;4;0.0005
help;5;0.0006
Prince;3;0.0003
bite;12;0.0014
Fozzie_bear;4;0.0005
steam;4;0.0005
France;1;0.0001
Billy;4;0.0005
bark;2;0.0002
duck;10;0.0011
Po;3;0.0003
Anna;7;0.0008
squeaksqueak;1;0.0001
wrap;5;0.0006
crab;2;0.0002
need;8;0.0009
chucky;2;0.0002
birdie;7;0.0008
favorite;3;0.0003
The_wonderful_torch;2;0.0002
Mr_Chicken;1;0.0001
firefighter;1;0.0001
runny;2;0.0002
drip;4;0.0005
Broomsticks;1;0.0001
roll;7;0.0008
brew;1;0.0001
rock;4;0.0005
throw;10;0.0011
pub;2;0.0002
tomato;8;0.0009
whoosh;5;0.0006
dairy;1;0.0001
flower;5;0.0006
Mr_Plod;2;0.0002
sweep;6;0.0007
vet;2;0.0002
Thomas_and_the_Tank;1;0.0001
Glennis;2;0.0002
out;4;0.0005
cover;8;0.0009
dunk;5;0.0006
Toytown;2;0.0002
mark;4;0.0005
frog;6;0.0007
smell;3;0.0003
Satsuma;1;0.0001
note;2;0.0002
lift;6;0.0007
queen;4;0.0005
Two_tone;4;0.0005
hungry;4;0.0005
helmet;1;0.0001
pant;2;0.0002
tidy;9;0.001
Postman_Pat;5;0.0006
Pringles;1;0.0001
lie;13;0.0015
weigh;1;0.0001
wear;6;0.0007
altogether;1;0.0001
hurt;7;0.0008
Joseph;1;0.0001
Sally;2;0.0002
Mummy;12;0.0014
stroke;5;0.0006
Tom_Tom;2;0.0002
sick;7;0.0008
camel;3;0.0003
tractor;2;0.0002
donkey;2;0.0002
warm;7;0.0008
ball;7;0.0008
pour;10;0.0011
cross;8;0.0009
Fred;2;0.0002
asleep;7;0.0008
lots_of;9;0.001
Cameron;1;0.0001
handstand;1;0.0001
Dan;1;0.0001
end;4;0.0005
bean;4;0.0005
Da_bear;2;0.0002
roast;1;0.0001
Blue_Peter;1;0.0001
goldfish;2;0.0002
driver;7;0.0008
give;5;0.0006
grr;4;0.0005
has_to;5;0.0006
runaway;2;0.0002
tea;9;0.001
up;4;0.0005
Abigail;2;0.0002
Billy_goat;2;0.0002
damp;2;0.0002
Davids;1;0.0001
start;7;0.0008
lamp;1;0.0001
wait;7;0.0008
Forest;3;0.0003
coving;1;0.0001
read;6;0.0007
peck;4;0.0005
much;2;0.0002
gribbet;1;0.0001
flop;2;0.0002
panda;8;0.0009
Easter_bunny;1;0.0001
Momma;1;0.0001
tunnel;7;0.0008
Rachel;5;0.0006
sulk;1;0.0001
sister;6;0.0007
along;3;0.0003
Sonia;2;0.0002
byebye;4;0.0005
dribbly;1;0.0001
Hubbard;1;0.0001
cob;2;0.0002
lay;5;0.0006
ear;5;0.0006
suck;4;0.0005
photograph;1;0.0001
Christmas;8;0.0009
kanga;2;0.0002
Arnold;2;0.0002
zip;2;0.0002
dark;6;0.0007
pop;9;0.001
fog;1;0.0001
Slow_Norris;1;0.0001
Paddington_Bear;1;0.0001
Darlik;2;0.0002
bib;4;0.0005
screwdriver;3;0.0003
sleeve;2;0.0002
Ela;1;0.0001
not;1;0.0001
basket;1;0.0001
Liam;1;0.0001
Barbara;2;0.0002
yours;11;0.0012
brown;9;0.001
telephone;1;0.0001
Blackpool;1;0.0001
pile;2;0.0002
all;3;0.0003
stuff;2;0.0002
downstairs;10;0.0011
Sergeant_Tibbs;2;0.0002
banister;1;0.0001
Nina_Louise_Spencer;3;0.0003
Co_op;1;0.0001
chest;3;0.0003
Gail_G;1;0.0001
leg;7;0.0008
happy_birthday;6;0.0007
