word;quantity;frequency
tickies;1;0.001
bless;1;0.001
actually;1;0.001
night_night;1;0.001
course;1;0.001
mine;6;0.004
find;5;0.004
doo;1;0.001
we;1;0.001
downstairs;1;0.001
all_gone;4;0.003
paddle;1;0.001
rosebud;1;0.001
baba;1;0.001
chocolate;1;0.001
teddy;6;0.004
Gerry;1;0.001
just;1;0.001
Jenny;6;0.004
Daddy;6;0.004
half;1;0.001
look;4;0.003
girl;3;0.002
Marmite;3;0.002
today;1;0.001
lorry;1;0.001
man;1;0.001
fall;8;0.006
leaf;1;0.001
cannot;7;0.005
scribble;1;0.001
jug;1;0.001
dear;2;0.001
sit;6;0.004
mummie;5;0.004
red;2;0.001
everybody;2;0.001
little;1;0.001
map;1;0.001
show;3;0.002
clothe;3;0.002
close;4;0.003
turn;4;0.003
Ben;1;0.001
sucker;1;0.001
com;1;0.001
jelly;2;0.001
lounge;1;0.001
stock;1;0.001
fry;1;0.001
beat;4;0.003
naughty;2;0.001
Cape;1;0.001
kitten;2;0.001
cake;2;0.001
hat;2;0.001
dog;1;0.001
nest;1;0.001
holiday;1;0.001
airport;1;0.001
toe;3;0.002
hello;1;0.001
lie;2;0.001
warm;2;0.001
head;1;0.001
boil;1;0.001
six;1;0.001
Wednesday;1;0.001
lady;2;0.001
slipper;1;0.001
belt;1;0.001
draw;2;0.001
drive;1;0.001
tear;4;0.003
put;5;0.004
floor;1;0.001
wont;5;0.004
choose;1;0.001
plane;1;0.001
bring;2;0.001
pen;3;0.002
push;3;0.002
still;1;0.001
small;1;0.001
penny;2;0.001
waste;1;0.001
throw;2;0.001
morrow;1;0.001
middle;1;0.001
keep;3;0.002
prune;2;0.001
medicine;1;0.001
balloon;1;0.001
pussy;2;0.001
Mummy;4;0.003
post;2;0.001
bannister;1;0.001
from;1;0.001
chin;1;0.001
hear;2;0.001
pretty;2;0.001
birdie;3;0.002
fast;3;0.002
doggie;2;0.001
supper;2;0.001
bird;1;0.001
wireless;1;0.001
scruff;1;0.001
cross;2;0.001
sticker;1;0.001
rag;1;0.001
will;1;0.001
high;1;0.001
first;2;0.001
pencil;1;0.001
comb;2;0.001
very;1;0.001
bag;2;0.001
leave;3;0.002
hole;1;0.001
Wendy;1;0.001
how;1;0.001
Lucky;4;0.003
ready;2;0.001
lawn;1;0.001
Steven;1;0.001
pudding;3;0.002
bunny;3;0.002
Kipper;1;0.001
pottie;1;0.001
funny;3;0.002
mouth;1;0.001
sandwich;2;0.001
come;6;0.004
forward;2;0.001
Susie;1;0.001
lap;2;0.001
scarf;1;0.001
see;3;0.002
open;5;0.004
comfortable;2;0.001
think;2;0.001
both;1;0.001
cook;2;0.001
knock;3;0.002
dive;1;0.001
spider;1;0.001
quack;2;0.001
across;1;0.001
snake;2;0.001
eat;5;0.004
pick;1;0.001
now;1;0.001
behind;2;0.001
only;1;0.001
bright;1;0.001
wash;2;0.001
gate;1;0.001
bite;3;0.002
bib;1;0.001
Stockport;1;0.001
swim;1;0.001
more;2;0.001
Town;2;0.001
sick;2;0.001
walk;2;0.001
car;1;0.001
upside;1;0.001
flat;1;0.001
good;1;0.001
Lisa;1;0.001
sweetie;2;0.001
can;1;0.001
pot;1;0.001
pinkie;1;0.001
hold;3;0.002
pop;1;0.001
blow;4;0.003
lavatory;1;0.001
vest;1;0.001
upstairs;4;0.003
christmas;2;0.001
make;3;0.002
further;1;0.001
crispies;1;0.001
spill;1;0.001
spade;1;0.001
kind;1;0.001
love;2;0.001
tire;3;0.002
try;3;0.002
corner;1;0.001
purse;2;0.001
run;1;0.001
sandal;2;0.001
press;2;0.001
sleep;4;0.003
orange;2;0.001
biscui;1;0.001
drop;3;0.002
guinea;1;0.001
bone;1;0.001
side;1;0.001
want;3;0.002
around;1;0.001
starling;2;0.001
front;1;0.001
would;1;0.001
brand;1;0.001
tissue;1;0.001
reindeer;1;0.001
ow;1;0.001
fee;2;0.001
letter;1;0.001
doggy;3;0.002
mantlepiece;1;0.001
please;2;0.001
moo;2;0.001
ear;1;0.001
cover;4;0.003
tell;3;0.002
drink;3;0.002
grass;1;0.001
bath;2;0.001
after;1;0.001
beer;1;0.001
over;2;0.001
band;1;0.001
an;1;0.001
goat;1;0.001
fly;5;0.004
tongue;1;0.001
tummy;2;0.001
already;1;0.001
two;1;0.001
gooseberry;2;0.001
David;1;0.001
hard;1;0.001
step;1;0.001
past;1;0.001
Jaffa;1;0.001
pouffe;1;0.001
bit;1;0.001
Chandley;1;0.001
move;1;0.001
work;2;0.001
Susan;1;0.001
tomorrow;1;0.001
oh;2;0.001
bicycle;1;0.001
pocket;1;0.001
nearly;1;0.001
fishie;1;0.001
sausage;1;0.001
pig;2;0.001
noise;1;0.001
elastic;1;0.001
hope;1;0.001
cold;3;0.002
burn;4;0.003
silly;2;0.001
quiet;1;0.001
tonight;1;0.001
coffee;1;0.001
watch;3;0.002
own;1;0.001
apple;1;0.001
baby;1;0.001
seat;1;0.001
butter;2;0.001
dingaling;1;0.001
bridge;1;0.001
four;1;0.001
rabbit;1;0.001
mountain;1;0.001
ambulance;1;0.001
curler;1;0.001
shoe;3;0.002
catch;3;0.002
fish;2;0.001
crocodile;1;0.001
umbrella;1;0.001
neck;1;0.001
dark;2;0.001
Margaret;1;0.001
fork;1;0.001
mug;1;0.001
crayon;1;0.001
finger;1;0.001
mess;1;0.001
empty;1;0.001
eggie;1;0.001
lemonade;1;0.001
back;3;0.002
toy;2;0.001
giraffe;1;0.001
down;3;0.002
squirrel;1;0.001
crust;1;0.001
tick;1;0.001
Tim;1;0.001
clinic;1;0.001
picture;2;0.001
mend;2;0.001
ducky;1;0.001
fringe;3;0.002
ribbon;2;0.001
robin;1;0.001
tart;3;0.002
school;1;0.001
read;3;0.002
book;1;0.001
dirty;4;0.003
newspaper;1;0.001
table;2;0.001
sunny;1;0.001
brush;1;0.001
those;1;0.001
wall;1;0.001
pink;2;0.001
goosie;2;0.001
comfy;1;0.001
black;1;0.001
carrot;1;0.001
many;1;0.001
him;1;0.001
bear;2;0.001
Sovereign;1;0.001
cheese;1;0.001
macaroni;2;0.001
cut;2;0.001
let;2;0.001
inside;2;0.001
ring;1;0.001
juice;1;0.001
somebody;1;0.001
cry;3;0.002
room;1;0.001
London;1;0.001
pear;1;0.001
window;1;0.001
dummy;1;0.001
material;1;0.001
cuckoo;1;0.001
talk;2;0.001
money;1;0.001
light;2;0.001
saw;2;0.001
knife;1;0.001
other;1;0.001
Cynthia;2;0.001
bubble;1;0.001
Barbara;2;0.001
moon;1;0.001
a_lot_of;1;0.001
truck;1;0.001
alright;1;0.001
tight;1;0.001
undo;3;0.002
here;1;0.001
milk;1;0.001
build;1;0.001
pony;1;0.001
smack;1;0.001
Smarties;1;0.001
Sally;1;0.001
straw;1;0.001
pavement;1;0.001
could;1;0.001
meringue;3;0.002
nose;2;0.001
dustbin;1;0.001
outside;2;0.001
pajama;1;0.001
jump;3;0.002
licorice;2;0.001
crisp;1;0.001
send;1;0.001
swan;1;0.001
better;3;0.002
darling;1;0.001
meow;1;0.001
bottom;2;0.001
nail;1;0.001
bed;4;0.003
Lulu;6;0.004
badly;1;0.001
terrible;1;0.001
anything;1;0.001
doll;1;0.001
hospital;2;0.001
ache;1;0.001
dress;2;0.001
clip;1;0.001
tin;1;0.001
toothbrush;1;0.001
kitchen;1;0.001
muddy;1;0.001
buy;3;0.002
green;1;0.001
part;1;0.001
rain;4;0.003
squeeze;2;0.001
fancy;1;0.001
toast;3;0.002
help;1;0.001
Boaz;1;0.001
these;1;0.001
tuck;2;0.001
order;1;0.001
thumb;1;0.001
dirt;1;0.001
Charlie;1;0.001
football;1;0.001
mind;3;0.002
stop;2;0.001
banana;2;0.001
tickle;2;0.001
piggie;2;0.001
bike;2;0.001
Sandy;1;0.001
round;3;0.002
next;2;0.001
stay;3;0.002
marmalade;2;0.001
pin;1;0.001
dolly;2;0.001
pack;1;0.001
take;2;0.001
tights;1;0.001
salt;1;0.001
lolly;1;0.001
gown;1;0.001
rhubarb;2;0.001
chair;1;0.001
house;1;0.001
happy;2;0.001
Lynn;1;0.001
them;1;0.001
feel;2;0.001
downs_a_daisy;1;0.001
onion;1;0.001
suitcase;1;0.001
nursery;2;0.001
disgust;1;0.001
skip;4;0.003
heater;1;0.001
scratchy;1;0.001
none;1;0.001
boy;2;0.001
touch;2;0.001
climb;1;0.001
break;2;0.001
bread;2;0.001
slip;1;0.001
lend;1;0.001
nanny;2;0.001
carry;1;0.001
fit;3;0.002
longer;1;0.001
mouse;1;0.001
Cambridge;2;0.001
Phil;1;0.001
lion;1;0.001
plate;1;0.001
piece;1;0.001
any;1;0.001
Timothy;1;0.001
pull;1;0.001
learn;1;0.001
got_to;3;0.002
nappie;1;0.001
jam;2;0.001
shirt;1;0.001
big;1;0.001
peg;1;0.001
about;1;0.001
motor;1;0.001
kiss;3;0.002
may;1;0.001
uk;2;0.001
Lego;2;0.001
top;2;0.001
scream;1;0.001
blue;2;0.001
through;1;0.001
switch;1;0.001
some;1;0.001
tree;1;0.001
tricycle;1;0.001
kettle;1;0.001
Mac;1;0.001
Pam;1;0.001
time;1;0.001
puppy;1;0.001
bug;1;0.001
slide;2;0.001
plug;1;0.001
anybody;1;0.001
engine;1;0.001
wine;2;0.001
stick;1;0.001
egg;1;0.001
shy;1;0.001
ah;2;0.001
library;2;0.001
reach;1;0.001
kid;1;0.001
where;1;0.001
busy;1;0.001
calf;1;0.001
yellow;2;0.001
yesterday;1;0.001
fight;1;0.001
Jack;1;0.001
ankle;1;0.001
thank_you;1;0.001
lid;1;0.001
another;1;0.001
lunch;1;0.001
wipe;2;0.001
monkey;1;0.001
kick;1;0.001
bacon;1;0.001
park;2;0.001
s;1;0.001
teacher;1;0.001
Suki;2;0.001
afternoon;1;0.001
ballie;1;0.001
ice;1;0.001
cage;1;0.001
play;4;0.003
