word;quantity;frequency
course;1;0.0
silly;1;0.0
how_about;2;0.001
toast;4;0.002
sort;1;0.0
horsies;1;0.0
lock;2;0.001
farmyard;3;0.001
red;3;0.001
piga;1;0.0
close;4;0.002
clip;2;0.001
guess;1;0.0
ya;6;0.002
already;1;0.0
ask;1;0.0
lie;3;0.001
aubergine;1;0.0
pepperoni;1;0.0
paint;3;0.001
na;1;0.0
Molly;1;0.0
speak;1;0.0
Haven;2;0.001
sound;3;0.001
icy;2;0.001
alright;3;0.001
attach;1;0.0
Fluffy;2;0.001
second;1;0.0
print;1;0.0
peep;1;0.0
Sophie;1;0.0
poorly;1;0.0
Peter_Rabbit;1;0.0
mouse;1;0.0
ten;2;0.001
cauliflower;1;0.0
Tato;1;0.0
k;3;0.001
beside;1;0.0
autumn;2;0.001
Germany;1;0.0
color;2;0.001
turtle;3;0.001
rab;1;0.0
damsel;1;0.0
neigh;2;0.001
sandwich;2;0.001
nectarine;1;0.0
noth;1;0.0
pardon;2;0.001
sail;1;0.0
ladder;1;0.0
Legoland;1;0.0
moment;1;0.0
fun;2;0.001
pussy;4;0.002
shower;1;0.0
lettuce;1;0.0
Granny;2;0.001
fix;3;0.001
t;5;0.002
Park;3;0.001
hurt;4;0.002
boom;1;0.0
bloke;1;0.0
penny;2;0.001
lemon;3;0.001
pull;5;0.002
oh_dear;4;0.002
Nanny;6;0.002
upstairs;3;0.001
sp;1;0.0
rabbit;4;0.002
Jill;1;0.0
flatten;3;0.001
tight;1;0.0
bedroom;1;0.0
bacon;3;0.001
pattern;1;0.0
itself;1;0.0
badger;1;0.0
crash;3;0.001
butterfly;1;0.0
would;1;0.0
s;5;0.002
udder;1;0.0
Nellie;1;0.0
poo;4;0.002
round;7;0.003
Adjalass;2;0.001
letter;1;0.0
touch;3;0.001
moo;2;0.001
plain;1;0.0
piece;1;0.0
hmpf;1;0.0
Henry;2;0.001
snail;1;0.0
wet;3;0.001
fish;3;0.001
all_gone;3;0.001
la;3;0.001
sieve;2;0.001
minor;1;0.0
Alice;2;0.001
pink;5;0.002
farmhouse;1;0.0
balance;1;0.0
melt;1;0.0
mel;1;0.0
work;2;0.001
crisp;2;0.001
lose;3;0.001
meow;5;0.002
monkey;4;0.002
own;1;0.0
uh;6;0.002
juicy;1;0.0
either;2;0.001
snooker;1;0.0
bridge;1;0.0
cake;5;0.002
ambulance;2;0.001
fit;6;0.002
try;4;0.002
Darren;1;0.0
listen;1;0.0
mug;1;0.0
Goldilocks;2;0.001
raspberry;2;0.001
spare;1;0.0
brown;3;0.001
giraffe;3;0.001
chop;2;0.001
stamp;1;0.0
dessert;1;0.0
m;4;0.002
Rice_Krispies;1;0.0
thank_you;3;0.001
table;1;0.0
hurray;1;0.0
land;6;0.002
pasta;2;0.001
ow;3;0.001
oy;2;0.001
battery;1;0.0
woof;2;0.001
doctor;1;0.0
late;3;0.001
bee;1;0.0
bang;1;0.0
pancake;1;0.0
sink;1;0.0
nee_naw;3;0.001
pretend;5;0.002
clothe;2;0.001
couple;1;0.0
juice;1;0.0
hour;1;0.0
river;1;0.0
tasty;2;0.001
Maureen;1;0.0
tiger;2;0.001
dinosaur;1;0.0
group;1;0.0
full;1;0.0
monster;1;0.0
mommy;4;0.002
seaside;1;0.0
pony;1;0.0
pat;2;0.001
smack;1;0.0
massive;1;0.0
baboon;1;0.0
pot;1;0.0
Travis;2;0.001
blow;1;0.0
rocket;1;0.0
knight;4;0.002
fair;3;0.001
smell;2;0.001
cave;1;0.0
spoon;2;0.001
bathroom;1;0.0
king;1;0.0
kitchen;1;0.0
lady;3;0.001
Joe;1;0.0
farmer;1;0.0
salt;1;0.0
bear;4;0.002
order;1;0.0
vanilla;1;0.0
mind;2;0.001
stethoscope;1;0.0
pitch;1;0.0
spin;2;0.001
Jemma;1;0.0
o;3;0.001
chase;2;0.001
wild;1;0.0
chair;1;0.0
queue;1;0.0
bog;1;0.0
d;2;0.001
Mary;4;0.002
tent;2;0.001
week;1;0.0
desk;1;0.0
bob;1;0.0
tortoise;2;0.001
careful;1;0.0
belong;1;0.0
bread;3;0.001
soup;1;0.0
re;2;0.001
safe;1;0.0
plate;1;0.0
mom;5;0.002
exercise;1;0.0
j;1;0.0
zoo;3;0.001
damage;1;0.0
its;1;0.0
talk;1;0.0
ship;1;0.0
switch;2;0.001
auntie;5;0.002
shampoo;2;0.001
lick;6;0.002
horsie;4;0.002
tip;4;0.002
anybody;1;0.0
milk;2;0.001
bounce;2;0.001
h;3;0.001
zebra;2;0.001
ride;3;0.001
pour;4;0.002
front;3;0.001
panda;1;0.0
read;1;0.0
carpet;1;0.0
happy;1;0.0
lift;3;0.001
comin;1;0.0
dog;5;0.002
flip;1;0.0
fly;4;0.002
cat;3;0.001
Rory;1;0.0
space;1;0.0
princess;1;0.0
wine;2;0.001
em;3;0.001
cow;4;0.002
bell;1;0.0
grey;1;0.0
Huh;3;0.001
eleven;1;0.0
use;1;0.0
y;1;0.0
fine;3;0.001
asleep;2;0.001
squash;1;0.0
oh_no;4;0.002
Dan_Gordon_Rampton;1;0.0
cry;2;0.001
scary;1;0.0
rub;2;0.001
under;1;0.0
bump;3;0.001
brick;1;0.0
dry;3;0.001
miss;5;0.002
horse;3;0.001
sleep;7;0.003
cupboard;1;0.0
stinker;1;0.0
snap;2;0.001
Donna;1;0.0
puppet;1;0.0
Sunday;1;0.0
climb;4;0.002
flush;1;0.0
mmm;1;0.0
wheel;4;0.002
sock;1;0.0
shop;3;0.001
cheek;1;0.0
wear;2;0.001
mumble;1;0.0
shell;1;0.0
hit;1;0.0
bunk;1;0.0
Jacob;1;0.0
l;1;0.0
quiet;2;0.001
computer;1;0.0
clock;1;0.0
girl;6;0.002
men;1;0.0
France;1;0.0
Billy;2;0.001
nugget;1;0.0
Ray;1;0.0
yuck;2;0.001
downstairs;2;0.001
live;6;0.002
might;1;0.0
Eleanor;1;0.0
ear;2;0.001
carry;2;0.001
eye;1;0.0
walk;3;0.001
fall;6;0.002
dong;1;0.0
Ethan;2;0.001
eh;3;0.001
piggie;3;0.001
aeroplane;3;0.001
ranger;1;0.0
clean;2;0.001
airplane;2;0.001
difficult;1;0.0
Lucy;2;0.001
dadada;1;0.0
pie;1;0.0
tomato;2;0.001
toilet;1;0.0
last;1;0.0
flower;1;0.0
bed;5;0.002
accident;1;0.0
spicy;2;0.001
split;2;0.001
white;1;0.0
havin;2;0.001
hold;3;0.001
pho;1;0.0
clever;1;0.0
ummm;1;0.0
coffee;1;0.0
hamburger;1;0.0
turt;1;0.0
old;1;0.0
wool;1;0.0
teacup;2;0.001
watermelon;2;0.001
tidy;2;0.001
rid;3;0.001
duke;1;0.0
change;2;0.001
blanket;1;0.0
start;4;0.002
next_to;2;0.001
yell;1;0.0
later_on;1;0.0
night_night;1;0.0
helicopter;1;0.0
mamma;1;0.0
hide;5;0.002
magic;2;0.001
toe;1;0.0
station;1;0.0
w;2;0.001
doggy;6;0.002
clown;1;0.0
sure;2;0.001
hear;3;0.001
beaker;1;0.0
wipe;2;0.001
chalk;1;0.0
g;3;0.001
backwards;1;0.0
sword;1;0.0
biueeaaa;1;0.0
end;2;0.001
favorite;1;0.0
glass;1;0.0
honey;1;0.0
trap;1;0.0
poop;1;0.0
pig;2;0.001
giddy;2;0.001
drive;5;0.002
catty;1;0.0
peter;1;0.0
heat;2;0.001
toy;4;0.002
body;1;0.0
Meg;2;0.001
gravy;1;0.0
across;1;0.0
Suki;3;0.001
zoom;1;0.0
child;4;0.002
furniture;1;0.0
Grandad;2;0.001
picnic;4;0.002
er;7;0.003
pudding;3;0.001
umm;3;0.001
happen;2;0.001
near;1;0.0
buy;1;0.0
faucet;1;0.0
basket;1;0.0
Spain;1;0.0
ph;1;0.0
fifteen;1;0.0
nobody;1;0.0
Ruit;1;0.0
cheer;2;0.001
hisself;1;0.0
Gherkins;1;0.0
telephone;1;0.0
ba;1;0.0
stuff;1;0.0
along;1;0.0
Callum;3;0.001
Trav;1;0.0
Sandy;2;0.001
clop;1;0.0
movin;2;0.001
never_mind;1;0.0
heli;1;0.0
doggie;3;0.001
join;2;0.001
party;1;0.0
shut;5;0.002
somewhere;1;0.0
holiday;2;0.001
strip;1;0.0
bad;2;0.001
hay;2;0.001
Sticklebrick;1;0.0
fence;1;0.0
floor;1;0.0
pass;1;0.0
bitter;1;0.0
acorn;1;0.0
tunnel;1;0.0
pod;1;0.0
middle;1;0.0
dance;1;0.0
nurse;2;0.001
taste;1;0.0
fast;3;0.001
avocado;1;0.0
ooh;3;0.001
stroke;2;0.001
birthday;3;0.001
baker;1;0.0
forty;1;0.0
sh;1;0.0
quack;1;0.0
anymore;1;0.0
stir;2;0.001
top;2;0.001
sing;3;0.001
bib;1;0.0
grandma;2;0.001
Birt;1;0.0
match;3;0.001
flat;1;0.0
sweetie;1;0.0
fight;2;0.001
pop;1;0.0
drain;1;0.0
draw;2;0.001
Barbie;1;0.0
banana;2;0.001
love;2;0.001
Peppa_Pig;1;0.0
tire;3;0.001
corner;1;0.0
pear;1;0.0
ring;2;0.001
lots_of;1;0.0
bone;1;0.0
side;3;0.001
after;1;0.0
nothing;1;0.0
choo;2;0.001
uhoh;1;0.0
rumble;1;0.0
Becca;1;0.0
parrot;1;0.0
farther;1;0.0
daddy;9;0.004
wobbly;2;0.001
square;1;0.0
teaparty;1;0.0
kitten;1;0.0
an;1;0.0
best;1;0.0
Jen;2;0.001
matter;2;0.001
yay;1;0.0
smile;2;0.001
fridge;1;0.0
behind;1;0.0
brush;2;0.001
erm;12;0.005
wrong;2;0.001
force;1;0.0
nearly;1;0.0
clippety_clop;1;0.0
enough;2;0.001
hose;1;0.0
bing;1;0.0
Harry;2;0.001
mon;1;0.0
oopsie;1;0.0
butter;1;0.0
fork;2;0.001
Polly;2;0.001
shield;2;0.001
hard;2;0.001
tyre;1;0.0
cyclops;1;0.0
squirrel;2;0.001
tart;1;0.0
allow;1;0.0
dinner;3;0.001
wall;1;0.0
oink;2;0.001
steer;2;0.001
joke;2;0.001
number;1;0.0
cut;4;0.002
as_well;4;0.002
visit;1;0.0
boing;2;0.001
salad;1;0.0
forget;1;0.0
window;1;0.0
dummy;1;0.0
dear;3;0.001
croissant;1;0.0
knife;1;0.0
armor;2;0.001
ever;1;0.0
nose;1;0.0
field;1;0.0
delicious;1;0.0
teddy;3;0.001
fee;3;0.001
drawer;1;0.0
sweet;2;0.001
Superman;1;0.0
ache;2;0.001
scrape;1;0.0
hip;1;0.0
feel;1;0.0
cause;3;0.001
guard;1;0.0
grape;5;0.002
much;1;0.0
thank;1;0.0
someday;1;0.0
Sarah;2;0.001
hmmm;1;0.0
indoors;1;0.0
chocolate;2;0.001
dada;3;0.001
buffalo;1;0.0
lolly;1;0.0
toot;2;0.001
night;1;0.0
snuggly;1;0.0
corn;1;0.0
burger;1;0.0
line;1;0.0
onion;1;0.0
prin;1;0.0
hang;1;0.0
phone;1;0.0
nine;1;0.0
rest;3;0.001
hm;1;0.0
leek;1;0.0
celery;1;0.0
sister;1;0.0
may;1;0.0
collect;1;0.0
mean;4;0.002
mud;1;0.0
tree;3;0.001
save;3;0.001
chew;1;0.0
rabbi;1;0.0
teapot;1;0.0
cheat;1;0.0
race;1;0.0
hop;2;0.001
engine;1;0.0
toad;1;0.0
kid;1;0.0
Susie;1;0.0
shall;1;0.0
turkey;1;0.0
bunch;1;0.0
shove;1;0.0
set;1;0.0
oops;1;0.0
university;1;0.0
their;1;0.0
nosey;1;0.0
Izzy;1;0.0
ar;1;0.0
Jake;1;0.0
lollipop;1;0.0
press;3;0.001
finger;1;0.0
wh;1;0.0
needle;2;0.001
Adja;1;0.0
whose;1;0.0
hot;1;0.0
dish;2;0.001
Tammy;1;0.0
vegetable;1;0.0
graze;1;0.0
gum;1;0.0
poly;1;0.0
feather;1;0.0
block;1;0.0
wake;5;0.002
waw;1;0.0
box;1;0.0
thingy;2;0.001
Annie;1;0.0
day;1;0.0
ye;1;0.0
by;1;0.0
marry;1;0.0
fourteen;1;0.0
garden;1;0.0
pylon;1;0.0
electricity;1;0.0
playgroup;1;0.0
call;5;0.002
leg;1;0.0
thirsty;1;0.0
saucer;2;0.001
fishies;1;0.0
clap;1;0.0
potty;1;0.0
num;1;0.0
cucumber;2;0.001
cover;2;0.001
flag;1;0.0
Baw_Baw;1;0.0
flavor;1;0.0
sausage;2;0.001
babe;1;0.0
pant;1;0.0
nursery;2;0.001
Evie;2;0.001
stand;3;0.001
strawberry;2;0.001
tall;1;0.0
different;1;0.0
melon;2;0.001
yellow;4;0.002
roof;1;0.0
c;3;0.001
ribena;1;0.0
cream;1;0.0
Jaja;2;0.001
rescue;3;0.001
siesta;1;0.0
pizza;4;0.002
hungry;2;0.001
windy;1;0.0
lucky;1;0.0
store;1;0.0
vest;1;0.0
nasty;1;0.0
kitty;2;0.001
elbow;1;0.0
playschool;2;0.001
duck;2;0.001
long;2;0.001
plant;1;0.0
game;1;0.0
jacket;1;0.0
Helen;1;0.0
board;1;0.0
Connie;1;0.0
soon;1;0.0
bag;1;0.0
purple;2;0.001
drop;3;0.001
anyone;1;0.0
Maron_Station;1;0.0
Thomas;1;0.0
fat;2;0.001
slide;3;0.001
here_you_go;1;0.0
office;1;0.0
foot;3;0.001
plug;1;0.0
cardigan;1;0.0
safari;1;0.0
roundabout;1;0.0
swing;2;0.001
minute;1;0.0
Daniel;1;0.0
star;1;0.0
Hamlet;2;0.001
suppose;3;0.001
water;1;0.0
trotter;1;0.0
disappear;1;0.0
Debbie;1;0.0
lay;1;0.0
twinkle;1;0.0
Gherkin;1;0.0
dream;1;0.0
Vimto;1;0.0
chicken;1;0.0
myself;2;0.001
grow;1;0.0
wow;1;0.0
ambul;1;0.0
Greece;1;0.0
mustard;1;0.0
blue;3;0.001
win;1;0.0
tickle;3;0.001
bu;1;0.0
Firstname;1;0.0
pond;1;0.0
anywhere;1;0.0
chick;1;0.0
cereal;1;0.0
pineapple;1;0.0
probably;1;0.0
actually;1;0.0
knee;1;0.0
plat;3;0.001
Adam;1;0.0
together;1;0.0
blueberry;1;0.0
co;1;0.0
jug;1;0.0
pigeon;1;0.0
Nellies;1;0.0
Ben;1;0.0
dam;1;0.0
arm;1;0.0
machine;1;0.0
airport;1;0.0
six;1;0.0
vroom;1;0.0
whoop;2;0.001
belt;1;0.0
crane;1;0.0
gong;1;0.0
Angel;2;0.001
small;1;0.0
Tuesday;1;0.0
hotdog;1;0.0
ra;1;0.0
medicine;1;0.0
hydraulics;1;0.0
sir;3;0.001
porridge;1;0.0
from;1;0.0
bush;1;0.0
bird;1;0.0
George;1;0.0
avenue;1;0.0
lap;1;0.0
cheeky;2;0.001
candle;1;0.0
scar;1;0.0
cheese;4;0.002
wah;1;0.0
orange;2;0.001
path;1;0.0
swim;4;0.002
Croc;2;0.001
Lurkey;1;0.0
aw;1;0.0
post;2;0.001
television;1;0.0
di_di_di_di_di_da;1;0.0
twelve;1;0.0
stack;2;0.001
tea;4;0.002
pretty;1;0.0
whoopsie;1;0.0
gaga;1;0.0
plan;1;0.0
cold;3;0.001
grass;1;0.0
frog;1;0.0
everyone;1;0.0
goat;1;0.0
pocket;1;0.0
outside;2;0.001
serious;1;0.0
b;1;0.0
Alex;1;0.0
doughnut;1;0.0
snow;2;0.001
den;1;0.0
hope;1;0.0
angry;1;0.0
cute;1;0.0
breakfast;2;0.001
brave;3;0.001
bug;2;0.001
magnet;1;0.0
crocodile;1;0.0
garlic;1;0.0
