word;relative_frequency;corpus_commonality
um;9.0000;18
course;1.0000;36
silly;1.7500;36
cra;1.0000;9
fix;6.3333;24
envelope;1.0000;18
feed;3.0000;27
piece;2.7500;32
sort;2.6667;27
noggin;2.0000;9
em;7.5000;18
kick;2.7500;28
lovely;2.0000;18
yet;1.2500;28
leaf;1.0000;24
horsies;1.0000;27
lock;4.6667;27
twenty;5.0000;16
castle;2.0000;27
welly;1.5000;18
clothe;4.2500;36
helpin;2.0000;9
close;5.0000;28
turn;4.2500;16
doin;5.0000;9
amusement;1.0000;9
R;1.6667;27
Elizabeth;1.0000;9
wide;1.0000;18
already;1.0000;24
Adam;2.0000;27
hat;4.2500;28
hoooo;1.0000;9
tow;4.0000;18
seat;1.0000;32
mountain;1.0000;27
crack;2.5000;16
listen;3.3333;24
Stegosaurus;3.0000;9
paint;3.2500;28
Zippy;2.0000;9
robot;2.0000;18
Gretas;1.0000;9
hoppy;2.0000;9
computer;1.0000;27
click;5.0000;18
somewhere;1.3333;24
couple;1.0000;27
Peters;1.0000;9
case;1.0000;18
alright;3.2500;32
Jonsey;2.0000;9
Cathy;5.0000;9
Punch;3.5000;16
wheel;5.0000;36
happen;3.0000;24
handle;1.5000;18
edge;1.0000;18
say;3.7500;8
Ethan;3.5000;18
Tuesday;1.0000;27
balloon;1.3333;27
Mummy;7.2500;32
oops_a_daisy;1.0000;9
smoke;3.0000;27
disgust;2.0000;27
birdie;4.0000;27
jean;2.0000;18
Holly;2.0000;27
mouse;2.0000;36
Sebastian;1.0000;9
string;1.3333;27
McCartney;1.0000;9
beeper;1.0000;9
lawnmower;1.5000;18
Jacko;1.0000;9
Orange;4.7500;32
beside;3.0000;27
bong;2.0000;9
dig;3.3333;24
easy;1.0000;16
dr;1.0000;9
Ba;1.6667;27
asleep;3.5000;36
camera;1.5000;18
penguin;5.0000;18
age;1.0000;18
Sally;1.6667;27
let;5.0000;16
explosive;2.0000;9
sandwich;2.2500;36
forward;2.3333;27
saw;3.0000;24
mum;7.5000;28
mike;2.0000;18
till;1.6667;27
throw;4.7500;24
scare;2.0000;27
ladder;1.7500;36
Dematron;1.0000;9
tellin;1.0000;9
tighten;4.0000;18
more;2.0000;12
Westport;1.0000;9
brilliant;1.5000;18
boo;2.0000;24
