word;list;POS;type
I;B;PRP;ClosedClass
to;B;TO;ClosedClass
be;B;VB;OpenClass
you;B;PRP;ClosedClass
the;B;DT;ClosedClass
a;B;DT;ClosedClass
it;B;PRP;ClosedClass
this;B;DT;ClosedClass
not;B;RB;OpenClass
yes;B;NN;OpenClass
that;B;IN;ClosedClass
my;B;PRP$;ClosedClass
am;B;NN;OpenClass
here;B;NN;OpenClass
here;B;JJ;OpenClass
here;B;RB;OpenClass
and;B;CC;ClosedClass
no;B;DT;ClosedClass
one;B;CD;ClosedClass
going;B;NN;OpenClass
go;B;VB;OpenClass
going;B;JJ;OpenClass
do;B;NN;OpenClass
do;B;VB;OpenClass
there;B;NN;OpenClass
there;B;RB;OpenClass
want;B;NN;OpenClass
want;B;VB;OpenClass
in;B;IN;ClosedClass
on;B;IN;ClosedClass
have;B;NN;OpenClass
have;B;VB;OpenClass
can;B;MD;ClosedClass
what;B;WP;ClosedClass
will;B;MD;ClosedClass
we;B;PRP;ClosedClass
get;B;NN;OpenClass
get;B;VB;OpenClass
some;B;DT;ClosedClass
are;B;NN;OpenClass
go;B;NN;OpenClass
go;B;JJ;OpenClass
me;B;PRP;ClosedClass
put;B;NN;OpenClass
put;B;VB;OpenClass
need;B;NN;OpenClass
need;B;VB;OpenClass
up;B;VB;OpenClass
up;B;JJ;OpenClass
up;B;RB;OpenClass
now;B;NN;OpenClass
now;B;RB;OpenClass
he;B;PRP;ClosedClass
hey;B;NN;OpenClass
of;B;IN;ClosedClass
all;B;DT;ClosedClass
your;B;PRP$;ClosedClass
come;B;NN;OpenClass
come;B;VB;OpenClass
more;B;NN;OpenClass
more;B;JJ;OpenClass
more;B;RB;OpenClass
look;B;NN;OpenClass
look;B;VB;OpenClass
okay;B;NN;OpenClass
okay;B;VB;OpenClass
okay;B;JJ;OpenClass
okay;B;RB;OpenClass
take;B;NN;OpenClass
take;B;VB;OpenClass
make;B;NN;OpenClass
make;B;VB;OpenClass
like;B;IN;ClosedClass
let;B;NN;OpenClass
let;B;VB;OpenClass
be;B;NN;OpenClass
these;B;DT;ClosedClass
for;B;IN;ClosedClass
out;B;IN;ClosedClass
oh;B;NN;OpenClass
two;B;CD;ClosedClass
us;B;PRP;ClosedClass
with;B;IN;ClosedClass
down;B;NN;OpenClass
down;B;VB;OpenClass
down;B;JJ;OpenClass
down;B;RB;OpenClass
know;B;NN;OpenClass
know;B;VB;OpenClass
right;B;NN;OpenClass
right;B;VB;OpenClass
right;B;JJ;OpenClass
right;B;RB;OpenClass
see;B;NN;OpenClass
see;B;VB;OpenClass
little;B;NN;OpenClass
little;B;JJ;OpenClass
little;B;RB;OpenClass
she;B;PRP;ClosedClass
they;B;PRP;ClosedClass
eat;B;VB;OpenClass
big;B;JJ;OpenClass
big;B;RB;OpenClass
mine;B;NN;OpenClass
mine;B;VB;OpenClass
at;B;IN;ClosedClass
where;B;WRB;ClosedClass
paint;B;NN;OpenClass
paint;B;VB;OpenClass
them;B;PRP;ClosedClass
Katie;B;NNP;OpenClass
off;B;IN;ClosedClass
over;B;IN;ClosedClass
home;B;NN;OpenClass
home;B;VB;OpenClass
home;B;JJ;OpenClass
home;B;RB;OpenClass
play;B;NN;OpenClass
play;B;VB;OpenClass
so;B;NN;OpenClass
so;B;RB;OpenClass
done;B;JJ;OpenClass
just;B;JJ;OpenClass
just;B;RB;OpenClass
dog;B;NN;OpenClass
dog;B;VB;OpenClass
how;B;WRB;ClosedClass
who;B;WP;ClosedClass
name;B;NN;OpenClass
name;B;VB;OpenClass
chair;B;NN;OpenClass
chair;B;VB;OpenClass
good;B;NN;OpenClass
good;B;JJ;OpenClass
good;B;RB;OpenClass
house;B;NN;OpenClass
house;B;VB;OpenClass
three;B;CD;ClosedClass
please;B;VB;OpenClass
please;B;RB;OpenClass
those;B;DT;ClosedClass
because;B;IN;ClosedClass
doe;B;NN;OpenClass
too;B;RB;OpenClass
boo;B;NN;OpenClass
boo;B;VB;OpenClass
but;B;CC;ClosedClass
ha;B;NN;OpenClass
show;B;NN;OpenClass
show;B;VB;OpenClass
sit;B;VB;OpenClass
hat;B;NN;OpenClass
hat;B;VB;OpenClass
blue;B;NN;OpenClass
blue;B;VB;OpenClass
blue;B;JJ;OpenClass
her;B;PRP$;ClosedClass
stomp;B;NN;OpenClass
stomp;B;VB;OpenClass
wa;B;NN;OpenClass
Aaron;B;NNP;OpenClass
back;B;NN;OpenClass
back;B;VB;OpenClass
back;B;JJ;OpenClass
back;B;RB;OpenClass
time;B;NN;OpenClass
time;B;VB;OpenClass
wash;B;NN;OpenClass
wash;B;VB;OpenClass
another;B;DT;ClosedClass
by;B;IN;ClosedClass
Colby;B;NN;OpenClass
then;B;NN;OpenClass
then;B;JJ;OpenClass
then;B;RB;OpenClass
why;B;WRB;ClosedClass
away;B;JJ;OpenClass
away;B;RB;OpenClass
give;B;NN;OpenClass
give;B;VB;OpenClass
help;B;NN;OpenClass
help;B;VB;OpenClass
his;B;PRP$;ClosedClass
again;B;RB;OpenClass
milk;B;NN;OpenClass
milk;B;VB;OpenClass
water;B;NN;OpenClass
water;B;VB;OpenClass
juice;B;NN;OpenClass
our;B;PRP$;ClosedClass
making;B;NN;OpenClass
open;B;NN;OpenClass
open;B;VB;OpenClass
open;B;JJ;OpenClass
or;B;CC;ClosedClass
other;B;JJ;OpenClass
red;B;NN;OpenClass
red;B;JJ;OpenClass
room;B;NN;OpenClass
room;B;VB;OpenClass
think;B;NN;OpenClass
think;B;VB;OpenClass
white;B;NN;OpenClass
white;B;VB;OpenClass
white;B;JJ;OpenClass
yellow;B;NN;OpenClass
yellow;B;VB;OpenClass
yellow;B;JJ;OpenClass
green;B;NN;OpenClass
green;B;VB;OpenClass
green;B;JJ;OpenClass
whoa;B;NN;OpenClass
dad;B;NN;OpenClass
doghouse;B;NN;OpenClass
hair;B;NN;OpenClass
hand;B;NN;OpenClass
hand;B;VB;OpenClass
use;B;NN;OpenClass
use;B;VB;OpenClass
way;B;NN;OpenClass
way;B;RB;OpenClass
when;B;WRB;ClosedClass
baby;B;NN;OpenClass
baby;B;VB;OpenClass
fall;B;NN;OpenClass
fall;B;VB;OpenClass
stay;B;NN;OpenClass
stay;B;VB;OpenClass
yet;B;RB;OpenClass
mom;B;NN;OpenClass
noodle;B;NN;OpenClass
watch;B;NN;OpenClass
watch;B;VB;OpenClass
cracker;B;NN;OpenClass
found;B;NN;OpenClass
find;B;VB;OpenClass
found;B;JJ;OpenClass
four;B;CD;ClosedClass
guy;B;NN;OpenClass
guy;B;VB;OpenClass
hi;B;NN;OpenClass
one;B;NN;OpenClass
peanut;B;NN;OpenClass
peanut;B;JJ;OpenClass
playhouse;B;NN;OpenClass
sand;B;NN;OpenClass
sand;B;VB;OpenClass
sister;B;NN;OpenClass
spider;B;NN;OpenClass
butter;B;NN;OpenClass
butter;B;VB;OpenClass
car;B;NN;OpenClass
egg;B;NN;OpenClass
egg;B;VB;OpenClass
maybe;B;RB;OpenClass
mommy;B;NN;OpenClass
orange;B;NN;OpenClass
orange;B;JJ;OpenClass
stop;B;NN;OpenClass
stop;B;VB;OpenClass
sure;B;JJ;OpenClass
sure;B;RB;OpenClass
thank;B;VB;OpenClass
boat;B;NN;OpenClass
boat;B;VB;OpenClass
could;B;MD;ClosedClass
cut;B;NN;OpenClass
cut;B;VB;OpenClass
cut;B;JJ;OpenClass
first;B;NN;OpenClass
first;B;JJ;OpenClass
first;B;RB;OpenClass
fish;B;NN;OpenClass
fish;B;VB;OpenClass
glue;B;NN;OpenClass
glue;B;VB;OpenClass
light;B;NN;OpenClass
light;B;VB;OpenClass
light;B;JJ;OpenClass
light;B;RB;OpenClass
lot;B;NN;OpenClass
lot;B;VB;OpenClass
lunch;B;NN;OpenClass
lunch;B;VB;OpenClass
shoe;B;NN;OpenClass
shoe;B;VB;OpenClass
something;B;NN;OpenClass
stand;B;NN;OpenClass
stand;B;VB;OpenClass
tickle;B;NN;OpenClass
tickle;B;VB;OpenClass
train;B;NN;OpenClass
train;B;VB;OpenClass
already;B;RB;OpenClass
ball;B;NN;OpenClass
ball;B;VB;OpenClass
cat;B;NN;OpenClass
cat;B;VB;OpenClass
game;B;NN;OpenClass
game;B;VB;OpenClass
game;B;JJ;OpenClass
him;B;PRP;ClosedClass
made;B;JJ;OpenClass
Missy;B;NN;OpenClass
money;B;NN;OpenClass
new;B;JJ;OpenClass
new;B;RB;OpenClass
real;B;NN;OpenClass
real;B;JJ;OpenClass
real;B;RB;OpenClass
Susie;B;NN;OpenClass
tape;B;NN;OpenClass
tape;B;VB;OpenClass
tell;B;NN;OpenClass
tell;B;VB;OpenClass
today;B;NN;OpenClass
today;B;RB;OpenClass
top;B;NN;OpenClass
top;B;VB;OpenClass
top;B;JJ;OpenClass
try;B;VB;OpenClass
trying;B;JJ;OpenClass
whoop;B;NN;OpenClass
whoop;B;VB;OpenClass
cake;B;NN;OpenClass
cake;B;VB;OpenClass
clean;B;NN;OpenClass
clean;B;VB;OpenClass
clean;B;JJ;OpenClass
clean;B;RB;OpenClass
color;B;NN;OpenClass
color;B;VB;OpenClass
color;B;JJ;OpenClass
coming;B;NN;OpenClass
coming;B;JJ;OpenClass
foot;B;NN;OpenClass
food;B;NN;OpenClass
gone;B;JJ;OpenClass
Jamie;B;NN;OpenClass
many;B;JJ;OpenClass
move;B;NN;OpenClass
move;B;VB;OpenClass
party;B;NN;OpenClass
party;B;VB;OpenClass
thing;B;NN;OpenClass
wand;B;NN;OpenClass
ate;B;NN;OpenClass
bell;B;NN;OpenClass
bell;B;VB;OpenClass
black;B;NN;OpenClass
black;B;VB;OpenClass
black;B;JJ;OpenClass
cow;B;NN;OpenClass
cow;B;VB;OpenClass
farm;B;NN;OpenClass
farm;B;VB;OpenClass
foot;B;VB;OpenClass
hide;B;NN;OpenClass
hide;B;VB;OpenClass
leg;B;NN;OpenClass
line;B;NN;OpenClass
line;B;VB;OpenClass
middle;B;NN;OpenClass
middle;B;VB;OpenClass
middle;B;JJ;OpenClass
ready;B;NN;OpenClass
ready;B;VB;OpenClass
ready;B;JJ;OpenClass
say;B;VB;OpenClass
said;B;JJ;OpenClass
scissors;B;NN;OpenClass
scissor;B;VB;OpenClass
suppose;B;VB;OpenClass
table;B;NN;OpenClass
table;B;VB;OpenClass
try;B;NN;OpenClass
turn;B;NN;OpenClass
turn;B;VB;OpenClass
almost;B;RB;OpenClass
an;B;DT;ClosedClass
any;B;DT;ClosedClass
birthday;B;NN;OpenClass
bit;B;NN;OpenClass
bite;B;VB;OpenClass
Bobby;B;NN;OpenClass
door;B;NN;OpenClass
else;B;RB;OpenClass
fence;B;NN;OpenClass
fence;B;VB;OpenClass
find;B;NN;OpenClass
fire;B;NN;OpenClass
fire;B;VB;OpenClass
five;B;CD;ClosedClass
girl;B;NN;OpenClass
