word;list;POS;type
five;D;CD;ClosedClass
one;D;CD;ClosedClass
three;D;CD;ClosedClass
two;D;CD;ClosedClass
because;D;IN;ClosedClass
bye;D;NN;OpenClass
like;D;IN;ClosedClass
on;D;IN;ClosedClass
over;D;IN;ClosedClass
there;D;NN;OpenClass
there;D;RB;OpenClass
be;D;VB;OpenClass
through;D;IN;ClosedClass
up;D;VB;OpenClass
up;D;JJ;OpenClass
up;D;RB;OpenClass
ant;D;NN;OpenClass
bad;D;NN;OpenClass
bad;D;JJ;OpenClass
bad;D;RB;OpenClass
big;D;JJ;OpenClass
big;D;RB;OpenClass
bite;D;NN;OpenClass
bite;D;VB;OpenClass
black;D;NN;OpenClass
black;D;VB;OpenClass
black;D;JJ;OpenClass
cookie;D;NN;OpenClass
different;D;JJ;OpenClass
fly;D;NN;OpenClass
fly;D;VB;OpenClass
fly;D;JJ;OpenClass
girl;D;NN;OpenClass
good;D;NN;OpenClass
good;D;JJ;OpenClass
good;D;RB;OpenClass
great;D;NN;OpenClass
great;D;JJ;OpenClass
green;D;NN;OpenClass
green;D;VB;OpenClass
green;D;JJ;OpenClass
hear;D;VB;OpenClass
hi;D;NN;OpenClass
high;D;NN;OpenClass
high;D;JJ;OpenClass
high;D;RB;OpenClass
hot;D;JJ;OpenClass
know;D;NN;OpenClass
know;D;VB;OpenClass
last;D;NN;OpenClass
last;D;VB;OpenClass
last;D;JJ;OpenClass
last;D;RB;OpenClass
long;D;VB;OpenClass
long;D;JJ;OpenClass
long;D;RB;OpenClass
messy;D;JJ;OpenClass
middle;D;NN;OpenClass
middle;D;VB;OpenClass
middle;D;JJ;OpenClass
new;D;JJ;OpenClass
new;D;RB;OpenClass
next;D;JJ;OpenClass
next;D;RB;OpenClass
nice;D;NN;OpenClass
nice;D;JJ;OpenClass
ok;D;NN;OpenClass
ok;D;JJ;OpenClass
ok;D;RB;OpenClass
old;D;NN;OpenClass
old;D;JJ;OpenClass
open;D;NN;OpenClass
open;D;VB;OpenClass
open;D;JJ;OpenClass
paint;D;NN;OpenClass
paint;D;VB;OpenClass
name;D;NN;OpenClass
name;D;VB;OpenClass
red;D;NN;OpenClass
red;D;JJ;OpenClass
right;D;NN;OpenClass
right;D;VB;OpenClass
right;D;JJ;OpenClass
right;D;RB;OpenClass
saw;D;NN;OpenClass
saw;D;VB;OpenClass
show;D;NN;OpenClass
show;D;VB;OpenClass
shut;D;VB;OpenClass
shut;D;JJ;OpenClass
top;D;NN;OpenClass
top;D;VB;OpenClass
top;D;JJ;OpenClass
use;D;VB;OpenClass
used;D;JJ;OpenClass
where;D;WRB;ClosedClass
need;D;NN;OpenClass
need;D;VB;OpenClass
baby;D;NN;OpenClass
baby;D;VB;OpenClass
ball;D;NN;OpenClass
ball;D;VB;OpenClass
bathroom;D;NN;OpenClass
bean;D;NN;OpenClass
bean;D;VB;OpenClass
bed;D;NN;OpenClass
bed;D;VB;OpenClass
bird;D;NN;OpenClass
bird;D;VB;OpenClass
blue;D;NN;OpenClass
blue;D;VB;OpenClass
blue;D;JJ;OpenClass
box;D;NN;OpenClass
box;D;VB;OpenClass
boy;D;NN;OpenClass
call;D;NN;OpenClass
call;D;VB;OpenClass
candy;D;NN;OpenClass
candy;D;VB;OpenClass
car;D;NN;OpenClass
catch;D;NN;OpenClass
catch;D;VB;OpenClass
cause;D;NN;OpenClass
cause;D;VB;OpenClass
chair;D;NN;OpenClass
chair;D;VB;OpenClass
corn;D;NN;OpenClass
corn;D;VB;OpenClass
cup;D;NN;OpenClass
cup;D;VB;OpenClass
cut;D;NN;OpenClass
cut;D;VB;OpenClass
cut;D;JJ;OpenClass
day;D;NN;OpenClass
doctor;D;NN;OpenClass
doctor;D;VB;OpenClass
dog;D;NN;OpenClass
dog;D;VB;OpenClass
door;D;NN;OpenClass
duck;D;NN;OpenClass
duck;D;VB;OpenClass
eat;D;VB;OpenClass
fall;D;NN;OpenClass
fall;D;VB;OpenClass
finger;D;NN;OpenClass
finger;D;VB;OpenClass
fire;D;NN;OpenClass
fire;D;VB;OpenClass
foot;D;NN;OpenClass
foot;D;VB;OpenClass
get;D;NN;OpenClass
get;D;VB;OpenClass
hair;D;NN;OpenClass
hand;D;NN;OpenClass
hand;D;VB;OpenClass
hello;D;NN;OpenClass
help;D;NN;OpenClass
help;D;VB;OpenClass
hill;D;NN;OpenClass
hill;D;VB;OpenClass
home;D;NN;OpenClass
home;D;VB;OpenClass
home;D;JJ;OpenClass
home;D;RB;OpenClass
horse;D;NN;OpenClass
horse;D;VB;OpenClass
house;D;NN;OpenClass
house;D;VB;OpenClass
huh;D;NN;OpenClass
hum;D;NN;OpenClass
hum;D;VB;OpenClass
juice;D;NN;OpenClass
jump;D;NN;OpenClass
jump;D;VB;OpenClass
kind;D;NN;OpenClass
kind;D;JJ;OpenClass
look;D;NN;OpenClass
look;D;VB;OpenClass
lot;D;NN;OpenClass
lot;D;VB;OpenClass
lunch;D;NN;OpenClass
lunch;D;VB;OpenClass
make;D;NN;OpenClass
make;D;VB;OpenClass
man;D;NN;OpenClass
man;D;VB;OpenClass
mine;D;NN;OpenClass
mine;D;VB;OpenClass
mom;D;NN;OpenClass
mommy;D;NN;OpenClass
move;D;NN;OpenClass
move;D;VB;OpenClass
oh;D;NN;OpenClass
pick;D;NN;OpenClass
pick;D;VB;OpenClass
piece;D;NN;OpenClass
piece;D;VB;OpenClass
play;D;NN;OpenClass
play;D;VB;OpenClass
push;D;NN;OpenClass
push;D;VB;OpenClass
remember;D;VB;OpenClass
room;D;NN;OpenClass
room;D;VB;OpenClass
run;D;NN;OpenClass
run;D;VB;OpenClass
side;D;NN;OpenClass
side;D;VB;OpenClass
side;D;JJ;OpenClass
sit;D;VB;OpenClass
stuff;D;NN;OpenClass
stuff;D;VB;OpenClass
tape;D;NN;OpenClass
tape;D;VB;OpenClass
tell;D;NN;OpenClass
tell;D;VB;OpenClass
thing;D;NN;OpenClass
time;D;NN;OpenClass
time;D;VB;OpenClass
today;D;NN;OpenClass
today;D;RB;OpenClass
toy;D;NN;OpenClass
toy;D;VB;OpenClass
turn;D;NN;OpenClass
turn;D;VB;OpenClass
wait;D;NN;OpenClass
wait;D;VB;OpenClass
watch;D;NN;OpenClass
watch;D;VB;OpenClass
water;D;NN;OpenClass
water;D;VB;OpenClass
way;D;NN;OpenClass
way;D;RB;OpenClass
whole;D;NN;OpenClass
whole;D;JJ;OpenClass
whole;D;RB;OpenClass
um;D;NN;OpenClass
bug;D;NN;OpenClass
bug;D;VB;OpenClass
guy;D;NN;OpenClass
guy;D;VB;OpenClass
people;D;NN;OpenClass
people;D;VB;OpenClass
tree;D;NN;OpenClass
tree;D;VB;OpenClass
turtle;D;NN;OpenClass
turtle;D;VB;OpenClass
us;D;PRP;ClosedClass
back;D;NN;OpenClass
back;D;VB;OpenClass
back;D;JJ;OpenClass
back;D;RB;OpenClass
bet;D;NN;OpenClass
bet;D;VB;OpenClass
better;D;NN;OpenClass
better;D;VB;OpenClass
well;D;RB;OpenClass
even;D;NN;OpenClass
even;D;VB;OpenClass
even;D;JJ;OpenClass
even;D;RB;OpenClass
first;D;NN;OpenClass
first;D;JJ;OpenClass
first;D;RB;OpenClass
going;D;NN;OpenClass
go;D;VB;OpenClass
going;D;JJ;OpenClass
to;D;TO;ClosedClass
just;D;JJ;OpenClass
just;D;RB;OpenClass
little;D;NN;OpenClass
little;D;JJ;OpenClass
little;D;RB;OpenClass
so;D;NN;OpenClass
so;D;RB;OpenClass
still;D;NN;OpenClass
still;D;VB;OpenClass
still;D;JJ;OpenClass
still;D;RB;OpenClass
more;D;NN;OpenClass
more;D;JJ;OpenClass
more;D;RB;OpenClass
drink;D;NN;OpenClass
drink;D;VB;OpenClass
here;D;NN;OpenClass
here;D;JJ;OpenClass
here;D;RB;OpenClass
mean;D;NN;OpenClass
mean;D;VB;OpenClass
mean;D;JJ;OpenClass
go;D;NN;OpenClass
go;D;JJ;OpenClass
please;D;VB;OpenClass
please;D;RB;OpenClass
ride;D;NN;OpenClass
ride;D;VB;OpenClass
see;D;NN;OpenClass
see;D;VB;OpenClass
stop;D;NN;OpenClass
stop;D;VB;OpenClass
come;D;VB;OpenClass
found;D;NN;OpenClass
find;D;VB;OpenClass
found;D;JJ;OpenClass
made;D;JJ;OpenClass
say;D;VB;OpenClass
said;D;JJ;OpenClass
throw;D;VB;OpenClass
eating;D;NN;OpenClass
getting;D;NN;OpenClass
jumping;D;NN;OpenClass
looking;D;NN;OpenClass
looking;D;JJ;OpenClass
swing;D;NN;OpenClass
swing;D;VB;OpenClass
try;D;VB;OpenClass
trying;D;JJ;OpenClass
come;D;NN;OpenClass
do;D;VB;OpenClass
done;D;JJ;OpenClass
fix;D;VB;OpenClass
fixed;D;JJ;OpenClass
put;D;NN;OpenClass
put;D;VB;OpenClass
want;D;VB;OpenClass
wanted;D;JJ;OpenClass
ah;D;NN;OpenClass
buy;D;NN;OpenClass
buy;D;VB;OpenClass
face;D;NN;OpenClass
face;D;VB;OpenClass
find;D;NN;OpenClass
give;D;NN;OpenClass
give;D;VB;OpenClass
head;D;NN;OpenClass
head;D;VB;OpenClass
hold;D;NN;OpenClass
hold;D;VB;OpenClass
lift;D;NN;OpenClass
lift;D;VB;OpenClass
pet;D;NN;OpenClass
pet;D;VB;OpenClass
pet;D;JJ;OpenClass
say;D;NN;OpenClass
try;D;NN;OpenClass
use;D;NN;OpenClass
want;D;NN;OpenClass
leaf;D;NN;OpenClass
leave;D;VB;OpenClass
ya;D;NN;OpenClass
who;D;WP;ClosedClass
and;D;CC;ClosedClass
but;D;CC;ClosedClass
or;D;CC;ClosedClass
all;D;DT;ClosedClass
an;D;DT;ClosedClass
another;D;DT;ClosedClass
any;D;DT;ClosedClass
both;D;DT;ClosedClass
no;D;DT;ClosedClass
some;D;DT;ClosedClass
that;D;IN;ClosedClass
the;D;DT;ClosedClass
these;D;DT;ClosedClass
this;D;DT;ClosedClass
those;D;DT;ClosedClass
after;D;IN;ClosedClass
around;D;IN;ClosedClass
as;D;IN;ClosedClass
at;D;IN;ClosedClass
before;D;IN;ClosedClass
by;D;IN;ClosedClass
for;D;IN;ClosedClass
from;D;IN;ClosedClass
if;D;IN;ClosedClass
in;D;IN;ClosedClass
