word;list;POS;type
I;E;PRP;ClosedClass
no;E;DT;ClosedClass
yes;E;NN;OpenClass
yeah;E;RB;OpenClass
want;E;NN;OpenClass
want;E;VB;OpenClass
it;E;PRP;ClosedClass
that;E;IN;ClosedClass
my;E;PRP$;ClosedClass
you;E;PRP;ClosedClass
more;E;NN;OpenClass
more;E;JJ;OpenClass
more;E;RB;OpenClass
mine;E;NN;OpenClass
mine;E;VB;OpenClass
the;E;DT;ClosedClass
be;E;VB;OpenClass
on;E;IN;ClosedClass
in;E;IN;ClosedClass
here;E;NN;OpenClass
here;E;JJ;OpenClass
here;E;RB;OpenClass
out;E;IN;ClosedClass
off;E;IN;ClosedClass
a;E;DT;ClosedClass
go;E;NN;OpenClass
go;E;VB;OpenClass
go;E;JJ;OpenClass
what;E;WP;ClosedClass
some;E;DT;ClosedClass
help;E;NN;OpenClass
help;E;VB;OpenClass
all done;E;NN;OpenClass
finish;E;VB;OpenClass
finished;E;JJ;OpenClass
