word;list;POS;type
you;F;PRP;ClosedClass
I;F;PRP;ClosedClass
the;F;DT;ClosedClass
it;F;PRP;ClosedClass
a;F;DT;ClosedClass
no;F;DT;ClosedClass
and;F;CC;ClosedClass
can;F;MD;ClosedClass
that;F;IN;ClosedClass
my;F;PRP$;ClosedClass
am;F;NN;OpenClass
be;F;VB;OpenClass
in;F;IN;ClosedClass
this;F;DT;ClosedClass
me;F;PRP;ClosedClass
to;F;TO;ClosedClass
one;F;CD;ClosedClass
do;F;NN;OpenClass
do;F;VB;OpenClass
go;F;NN;OpenClass
go;F;VB;OpenClass
go;F;JJ;OpenClass
on;F;IN;ClosedClass
have;F;NN;OpenClass
have;F;VB;OpenClass
get;F;NN;OpenClass
get;F;VB;OpenClass
what;F;WP;ClosedClass
look;F;NN;OpenClass
look;F;VB;OpenClass
yeah;F;RB;OpenClass
there;F;NN;OpenClass
there;F;RB;OpenClass
we;F;PRP;ClosedClass
your;F;PRP$;ClosedClass
not;F;RB;OpenClass
let;F;NN;OpenClass
let;F;VB;OpenClass
here;F;NN;OpenClass
here;F;JJ;OpenClass
here;F;RB;OpenClass
he;F;PRP;ClosedClass
going;F;NN;OpenClass
going;F;JJ;OpenClass
hey;F;NN;OpenClass
are;F;NN;OpenClass
oh;F;NN;OpenClass
put;F;NN;OpenClass
put;F;VB;OpenClass
up;F;VB;OpenClass
up;F;JJ;OpenClass
up;F;RB;OpenClass
just;F;JJ;OpenClass
just;F;RB;OpenClass
cannot;F;NN;OpenClass
well;F;NN;OpenClass
well;F;VB;OpenClass
well;F;JJ;OpenClass
well;F;RB;OpenClass
will;F;MD;ClosedClass
come;F;NN;OpenClass
come;F;VB;OpenClass
um;F;NN;OpenClass
now;F;NN;OpenClass
now;F;RB;OpenClass
out;F;IN;ClosedClass
big;F;JJ;OpenClass
big;F;RB;OpenClass
down;F;NN;OpenClass
down;F;VB;OpenClass
down;F;JJ;OpenClass
down;F;RB;OpenClass
of;F;IN;ClosedClass
like;F;IN;ClosedClass
where;F;WRB;ClosedClass
ah;F;NN;OpenClass
be;F;NN;OpenClass
see;F;NN;OpenClass
see;F;VB;OpenClass
want;F;NN;OpenClass
want;F;VB;OpenClass
because;F;IN;ClosedClass
know;F;NN;OpenClass
know;F;VB;OpenClass
okay;F;NN;OpenClass
okay;F;VB;OpenClass
okay;F;JJ;OpenClass
okay;F;RB;OpenClass
them;F;PRP;ClosedClass
at;F;IN;ClosedClass
for;F;IN;ClosedClass
yes;F;NN;OpenClass
over;F;IN;ClosedClass
all;F;DT;ClosedClass
play;F;NN;OpenClass
play;F;VB;OpenClass
off;F;IN;ClosedClass
with;F;IN;ClosedClass
mine;F;NN;OpenClass
mine;F;VB;OpenClass
need;F;NN;OpenClass
need;F;VB;OpenClass
some;F;DT;ClosedClass
Spiderman;F;NN;OpenClass
but;F;CC;ClosedClass
two;F;CD;ClosedClass
him;F;PRP;ClosedClass
turn;F;NN;OpenClass
turn;F;VB;OpenClass
little;F;NN;OpenClass
little;F;JJ;OpenClass
little;F;RB;OpenClass
make;F;NN;OpenClass
make;F;VB;OpenClass
back;F;NN;OpenClass
back;F;VB;OpenClass
back;F;JJ;OpenClass
back;F;RB;OpenClass
tell;F;NN;OpenClass
tell;F;VB;OpenClass
they;F;PRP;ClosedClass
then;F;NN;OpenClass
then;F;JJ;OpenClass
then;F;RB;OpenClass
dwant;F;NN;OpenClass
hello;F;NN;OpenClass
our;F;PRP$;ClosedClass
watch;F;NN;OpenClass
watch;F;VB;OpenClass
how;F;WRB;ClosedClass
away;F;JJ;OpenClass
away;F;RB;OpenClass
sit;F;VB;OpenClass
found;F;NN;OpenClass
find;F;VB;OpenClass
found;F;JJ;OpenClass
friend;F;NN;OpenClass
these;F;DT;ClosedClass
wa;F;NN;OpenClass
yep;F;NN;OpenClass
baby;F;NN;OpenClass
baby;F;VB;OpenClass
doe;F;NN;OpenClass
only;F;JJ;OpenClass
only;F;RB;OpenClass
she;F;PRP;ClosedClass
his;F;PRP$;ClosedClass
spider;F;NN;OpenClass
too;F;RB;OpenClass
mum;F;NN;OpenClass
mum;F;JJ;OpenClass
so;F;NN;OpenClass
so;F;RB;OpenClass
