word;list;POS;type
and;G;CC;ClosedClass
I;G;PRP;ClosedClass
the;G;DT;ClosedClass
to;G;TO;ClosedClass
a;G;DT;ClosedClass
wa;G;NN;OpenClass
be;G;VB;OpenClass
it;G;PRP;ClosedClass
he;G;PRP;ClosedClass
she;G;PRP;ClosedClass
then;G;NN;OpenClass
then;G;JJ;OpenClass
then;G;RB;OpenClass
get;G;VB;OpenClass
my;G;PRP$;ClosedClass
on;G;IN;ClosedClass
go;G;VB;OpenClass
have;G;VB;OpenClass
her;G;PRP$;ClosedClass
in;G;IN;ClosedClass
there;G;NN;OpenClass
there;G;RB;OpenClass
you;G;PRP;ClosedClass
but;G;CC;ClosedClass
for;G;IN;ClosedClass
we;G;PRP;ClosedClass
that;G;IN;ClosedClass
up;G;VB;OpenClass
up;G;JJ;OpenClass
up;G;RB;OpenClass
yes;G;NN;OpenClass
go;G;NN;OpenClass
go;G;JJ;OpenClass
his;G;PRP$;ClosedClass
out;G;IN;ClosedClass
say;G;VB;OpenClass
said;G;JJ;OpenClass
one;G;CD;ClosedClass
dad;G;NN;OpenClass
do;G;NN;OpenClass
do;G;VB;OpenClass
not;G;RB;OpenClass
home;G;NN;OpenClass
home;G;VB;OpenClass
home;G;JJ;OpenClass
home;G;RB;OpenClass
Anna;G;NNP;OpenClass
mum;G;NN;OpenClass
mum;G;JJ;OpenClass
all;G;DT;ClosedClass
of;G;IN;ClosedClass
at;G;IN;ClosedClass
have;G;NN;OpenClass
this;G;DT;ClosedClass
with;G;IN;ClosedClass
get;G;NN;OpenClass
they;G;PRP;ClosedClass
when;G;WRB;ClosedClass
yeah;G;RB;OpenClass
lost;G;NN;OpenClass
lose;G;VB;OpenClass
lost;G;JJ;OpenClass
no;G;DT;ClosedClass
know;G;NN;OpenClass
know;G;VB;OpenClass
like;G;IN;ClosedClass
policeman;G;NN;OpenClass
