word;list;POS;type
and;H;CC;ClosedClass
but;H;CC;ClosedClass
two;H;CD;ClosedClass
one;H;CD;ClosedClass
the;H;DT;ClosedClass
a;H;DT;ClosedClass
all;H;DT;ClosedClass
an;H;DT;ClosedClass
this;H;DT;ClosedClass
some;H;DT;ClosedClass
there;H;NN;OpenClass
there;H;RB;OpenClass
like;H;IN;ClosedClass
in;H;IN;ClosedClass
on;H;IN;ClosedClass
with;H;IN;ClosedClass
of;H;IN;ClosedClass
at;H;IN;ClosedClass
because;H;IN;ClosedClass
over;H;IN;ClosedClass
for;H;IN;ClosedClass
if;H;IN;ClosedClass
that;H;IN;ClosedClass
into;H;IN;ClosedClass
outside;H;IN;ClosedClass
after;H;IN;ClosedClass
good;H;NN;OpenClass
good;H;JJ;OpenClass
good;H;RB;OpenClass
big;H;JJ;OpenClass
big;H;RB;OpenClass
new;H;JJ;OpenClass
new;H;RB;OpenClass
next;H;JJ;OpenClass
next;H;RB;OpenClass
last;H;NN;OpenClass
last;H;VB;OpenClass
last;H;JJ;OpenClass
last;H;RB;OpenClass
little;H;NN;OpenClass
little;H;JJ;OpenClass
little;H;RB;OpenClass
bird;H;NN;OpenClass
bird;H;VB;OpenClass
favorite;H;NN;OpenClass
favorite;H;JJ;OpenClass
ball;H;NN;OpenClass
ball;H;VB;OpenClass
nice;H;NN;OpenClass
nice;H;JJ;OpenClass
teacher;H;NN;OpenClass
brown;H;NN;OpenClass
brown;H;VB;OpenClass
brown;H;JJ;OpenClass
first;H;NN;OpenClass
first;H;JJ;OpenClass
first;H;RB;OpenClass
go;H;NN;OpenClass
go;H;VB;OpenClass
go;H;JJ;OpenClass
want;H;NN;OpenClass
want;H;VB;OpenClass
best;H;NN;OpenClass
best;H;VB;OpenClass
best;H;JJ;OpenClass
best;H;RB;OpenClass
will;H;MD;ClosedClass
can;H;MD;ClosedClass
game;H;NN;OpenClass
game;H;VB;OpenClass
game;H;JJ;OpenClass
frog;H;NN;OpenClass
frog;H;VB;OpenClass
eat;H;VB;OpenClass
miss;H;NN;OpenClass
miss;H;VB;OpenClass
field;H;NN;OpenClass
field;H;VB;OpenClass
cousin;H;NN;OpenClass
friend;H;NN;OpenClass
pool;H;NN;OpenClass
pool;H;VB;OpenClass
house;H;NN;OpenClass
house;H;VB;OpenClass
school;H;NN;OpenClass
school;H;VB;OpenClass
home;H;NN;OpenClass
home;H;VB;OpenClass
home;H;JJ;OpenClass
home;H;RB;OpenClass
lot;H;NN;OpenClass
lot;H;VB;OpenClass
water;H;NN;OpenClass
water;H;VB;OpenClass
today;H;NN;OpenClass
today;H;RB;OpenClass
book;H;NN;OpenClass
book;H;VB;OpenClass
day;H;NN;OpenClass
dad;H;NN;OpenClass
jump;H;NN;OpenClass
jump;H;VB;OpenClass
egg;H;NN;OpenClass
egg;H;VB;OpenClass
family;H;NN;OpenClass
time;H;NN;OpenClass
time;H;VB;OpenClass
trip;H;NN;OpenClass
trip;H;VB;OpenClass
aunt;H;NN;OpenClass
birthday;H;NN;OpenClass
cat;H;NN;OpenClass
cat;H;VB;OpenClass
get;H;VB;OpenClass
saw;H;NN;OpenClass
