word;list;POS;type
something;I;NN;OpenClass
peace;I;NN;OpenClass
will;I;MD;ClosedClass
hour;I;NN;OpenClass
little;I;NN;OpenClass
little;I;JJ;OpenClass
little;I;RB;OpenClass
need;I;NN;OpenClass
need;I;VB;OpenClass
give;I;NN;OpenClass
give;I;VB;OpenClass
microphone;I;NN;OpenClass
Miss;I;NNP;OpenClass
cool;I;NN;OpenClass
cool;I;VB;OpenClass
cool;I;JJ;OpenClass
four;I;CD;ClosedClass
last;I;NN;OpenClass
last;I;VB;OpenClass
last;I;JJ;OpenClass
last;I;RB;OpenClass
stop;I;NN;OpenClass
stop;I;VB;OpenClass
about;I;IN;ClosedClass
huh;I;NN;OpenClass
really;I;RB;OpenClass
seven;I;CD;ClosedClass
when;I;WRB;ClosedClass
who;I;WP;ClosedClass
big;I;JJ;OpenClass
big;I;RB;OpenClass
guy;I;NN;OpenClass
guy;I;VB;OpenClass
mean;I;NN;OpenClass
mean;I;VB;OpenClass
mean;I;JJ;OpenClass
over;I;IN;ClosedClass
be;I;NN;OpenClass
be;I;VB;OpenClass
I;I;PRP;ClosedClass
it;I;PRP;ClosedClass
you;I;PRP;ClosedClass
do;I;NN;OpenClass
do;I;VB;OpenClass
a;I;DT;ClosedClass
not;I;RB;OpenClass
to;I;TO;ClosedClass
the;I;DT;ClosedClass
that;I;IN;ClosedClass
no;I;DT;ClosedClass
and;I;CC;ClosedClass
go;I;NN;OpenClass
go;I;VB;OpenClass
go;I;JJ;OpenClass
have;I;NN;OpenClass
have;I;VB;OpenClass
what;I;WP;ClosedClass
like;I;IN;ClosedClass
oh;I;NN;OpenClass
yeah;I;RB;OpenClass
this;I;DT;ClosedClass
one;I;CD;ClosedClass
my;I;PRP$;ClosedClass
can;I;MD;ClosedClass
get;I;NN;OpenClass
get;I;VB;OpenClass
we;I;PRP;ClosedClass
know;I;NN;OpenClass
know;I;VB;OpenClass
me;I;PRP;ClosedClass
in;I;IN;ClosedClass
just;I;JJ;OpenClass
just;I;RB;OpenClass
on;I;IN;ClosedClass
so;I;NN;OpenClass
so;I;RB;OpenClass
okay;I;NN;OpenClass
okay;I;VB;OpenClass
okay;I;JJ;OpenClass
okay;I;RB;OpenClass
ok;I;NN;OpenClass
ok;I;JJ;OpenClass
ok;I;RB;OpenClass
he;I;PRP;ClosedClass
of;I;IN;ClosedClass
they;I;PRP;ClosedClass
yes;I;NN;OpenClass
there;I;NN;OpenClass
there;I;RB;OpenClass
say;I;NN;OpenClass
say;I;VB;OpenClass
