word;list;POS;type;commonality
but;J;CC;ClosedClass;8
and;J;CC;ClosedClass;8
one;J;CD;ClosedClass;8
a;J;DT;ClosedClass;8
the;J;DT;ClosedClass;9
this;J;DT;ClosedClass;8
all;J;DT;ClosedClass;8
every;J;DT;ClosedClass;1
there;J;RB;OpenClass;8
get;J;VB;OpenClass;8
in;J;IN;ClosedClass;9
of;J;IN;ClosedClass;8
for;J;IN;ClosedClass;8
on;J;IN;ClosedClass;9
at;J;IN;ClosedClass;8
about;J;IN;ClosedClass;5
because;J;IN;ClosedClass;7
old;J;JJ;OpenClass;3
if;J;IN;ClosedClass;6
today;J;NN;OpenClass;7
from;J;IN;ClosedClass;3
as;J;IN;ClosedClass;4
would;J;MD;ClosedClass;2
by;J;IN;ClosedClass;5
out;J;IN;ClosedClass;9
potato;J;NN;OpenClass;2
over;J;IN;ClosedClass;7
after;J;IN;ClosedClass;4
what;J;WP;ClosedClass;7
like;J;IN;ClosedClass;8
have;J;VB;OpenClass;8
dear;J;NN;OpenClass;1
good;J;JJ;OpenClass;7
think;J;NN;OpenClass;5
thing;J;NN;OpenClass;6
people;J;NNS;OpenClass;6
money;J;NN;OpenClass;2
live;J;JJ;OpenClass;1
shopping;J;NN;OpenClass;1
shop;J;NN;OpenClass;1
eat;J;NN;OpenClass;7
great;J;JJ;OpenClass;2
anymore;J;RB;OpenClass;1
collect;J;NN;OpenClass;1
when;J;WRB;ClosedClass;8
with;J;IN;ClosedClass;8
start;J;NN;OpenClass;2
loneliness;J;NN;OpenClass;1
full;J;JJ;OpenClass;1
celebrate;J;NN;OpenClass;1
up;J;RB;OpenClass;8
holiday;J;NN;OpenClass;1
football;J;NN;OpenClass;1
soon;J;RB;OpenClass;1
school;J;NN;OpenClass;4
now;J;RB;OpenClass;5
usually;J;RB;OpenClass;1
decide;J;NN;OpenClass;1
decided;J;VBD;OpenClass;1
feast;J;NN;OpenClass;1
picture;J;NN;OpenClass;1
together;J;RB;OpenClass;2
bye;J;NN;OpenClass;4
tomorrow;J;NN;OpenClass;1
name;J;NN;OpenClass;5
drainage;J;NN;OpenClass;1
high;J;JJ;OpenClass;3
level;J;NN;OpenClass;2
square;J;NN;OpenClass;2
dry;J;NN;OpenClass;1
be;J;VB;OpenClass;9
rock;J;NN;OpenClass;2
earth;J;NN;OpenClass;1
forest;J;NN;OpenClass;1
will;J;MD;ClosedClass;7
can;J;MD;ClosedClass;7
could;J;MD;ClosedClass;5
we;J;PRP;ClosedClass;8
you;J;PRP;ClosedClass;9
my;J;PRP$;ClosedClass;9
penpal;J;NN;OpenClass;1
do;J;VB;OpenClass;8
how;J;WRB;ClosedClass;6
wa;J;NN;OpenClass;7
that;J;IN;ClosedClass;9
me;J;PRP;ClosedClass;7
love;J;NN;OpenClass;4
reading;J;NN;OpenClass;1
read;J;NN;OpenClass;3
hope;J;NN;OpenClass;1
dad;J;NN;OpenClass;7
play;J;NN;OpenClass;7
want;J;NN;OpenClass;8
year;J;NN;OpenClass;2
math;J;NN;OpenClass;1
not;J;RB;OpenClass;8
friend;J;NN;OpenClass;5
they;J;PRP;ClosedClass;8
very;J;RB;OpenClass;5
also;J;RB;OpenClass;2
come;J;VB;OpenClass;7
family;J;NN;OpenClass;2
cello;J;NN;OpenClass;1
middle;J;NN;OpenClass;3
write;J;NN;OpenClass;2
city;J;NN;OpenClass;1
then;J;RB;OpenClass;8
here;J;RB;OpenClass;7
lucky;J;JJ;OpenClass;1
men;J;NNS;OpenClass;1
place;J;NN;OpenClass;1
vacation;J;NN;OpenClass;1
teacher;J;NN;OpenClass;4
state;J;NN;OpenClass;1
time;J;NN;OpenClass;7
day;J;NN;OpenClass;4
park;J;NN;OpenClass;1
them;J;PRP;ClosedClass;7
cant;J;NN;OpenClass;1
lot;J;NN;OpenClass;5
lots;J;NNS;OpenClass;1
care;J;NN;OpenClass;2
sock;J;NN;OpenClass;2
book;J;NN;OpenClass;5
soccer;J;NN;OpenClass;1
meet;J;NN;OpenClass;1
arm;J;NN;OpenClass;1
chewing;J;VBG;OpenClass;1
chew;J;NN;OpenClass;1
dog;J;NN;OpenClass;5
mother;J;NN;OpenClass;1
carry;J;NN;OpenClass;1
afraid;J;NN;OpenClass;1
art;J;NN;OpenClass;1
always;J;RB;OpenClass;2
grandpa;J;NN;OpenClass;2
to;J;TO;ClosedClass;8
your;J;PRP$;ClosedClass;6
mat;J;NN;OpenClass;1
pilgrim;J;NN;OpenClass;1
some;J;DT;ClosedClass;8
fun;J;NN;OpenClass;3
turkey;J;NN;OpenClass;1
pen;J;VB;OpenClass;1
tell;J;NN;OpenClass;5
corner;J;NN;OpenClass;1
corn;J;NN;OpenClass;2
it;J;PRP;ClosedClass;9
no;J;DT;ClosedClass;8
something;J;NN;OpenClass;6
slip;J;NN;OpenClass;1
center;J;NN;OpenClass;1
know;J;VB;OpenClass;8
home;J;NN;OpenClass;8
pie;J;NN;OpenClass;1
going;J;VBG;OpenClass;6
go;J;VB;OpenClass;9
house;J;NN;OpenClass;6
drive;J;NN;OpenClass;2
pumpkin;J;NN;OpenClass;1
fourth;J;JJ;OpenClass;1
maybe;J;RB;OpenClass;4
her;J;PRP$;ClosedClass;8
roll;J;NN;OpenClass;2
she;J;PRP;ClosedClass;8
dinner;J;NN;OpenClass;2
change;J;NN;OpenClass;1
food;J;NN;OpenClass;4
stuff;J;NN;OpenClass;3
well;J;RB;OpenClass;4
big;J;JJ;OpenClass;7
race;J;NN;OpenClass;1
glad;J;NN;OpenClass;1
end;J;NN;OpenClass;1
cute;J;NN;OpenClass;1
watch;J;NN;OpenClass;6
suddenly;J;RB;OpenClass;1
doe;J;NN;OpenClass;5
many;J;JJ;OpenClass;4
