list;size;CC;CD;DT;EX;FW;IN;JJ;JJR;JJS;LS;MD;NN;NNP;NNPS;NNS;PDT;POS;PRP;PRP$;RB;RBR;RBS;RP;SYM;TO;UH;VB;VBD;VBG;VBN;VBP;VBZ;WDT;WP;WP$;WRB
H Bruta;141;2;2;6;0;0;15;7;0;1;0;2;45;1;0;7;0;0;10;4;12;0;0;0;0;1;0;7;10;2;1;3;2;0;0;0;1
 ; ;0.014;0.014;0.043;0.000;0.000;0.106;0.050;0.000;0.028;0.000;0.014;0.319;0.007;0.000;0.050;0.000;0.000;0.071;0.028;0.085;0.000;0.000;0.000;0.000;0.007;0.000;0.050;0.071;0.014;0.007;0.021;0.014;0.000;0.000;0.000;0.007
A Bruta;352;6;3;11;0;0;30;14;0;0;0;10;133;0;0;33;0;0;15;8;29;0;0;0;0;2;0;20;10;5;6;3;7;0;2;0;5
 ; ;0.017;0.009;0.031;0.000;0.000;0.085;0.040;0.000;0.023;0.000;0.028;0.378;0.000;0.000;0.094;0.000;0.000;0.043;0.023;0.082;0.000;0.000;0.000;0.000;0.006;0.000;0.057;0.028;0.014;0.017;0.009;0.020;0.000;0.006;0.000;0.014
F Bruta;289;2;6;10;0;0;20;8;2;0;0;7;98;0;0;7;0;0;20;5;26;2;0;0;0;2;0;22;9;7;3;6;17;1;4;0;5
 ; ;0.007;0.021;0.035;0.000;0.000;0.069;0.028;0.007;0.017;0.000;0.024;0.339;0.000;0.000;0.024;0.000;0.000;0.069;0.017;0.090;0.007;0.000;0.000;0.000;0.007;0.000;0.076;0.031;0.024;0.010;0.021;0.059;0.003;0.014;0.000;0.017
G Bruta;50;2;1;5;0;0;9;0;0;0;0;0;5;1;0;1;0;0;6;3;4;0;0;0;0;1;0;5;5;0;1;0;0;0;0;0;1
 ; ;0.040;0.020;0.100;0.000;0.000;0.180;0.000;0.000;0.060;0.000;0.000;0.100;0.020;0.000;0.020;0.000;0.000;0.120;0.060;0.080;0.000;0.000;0.000;0.000;0.020;0.000;0.100;0.100;0.000;0.020;0.000;0.000;0.000;0.000;0.000;0.020
C Bruta;209;2;3;9;0;0;19;8;0;0;0;3;95;0;0;3;0;0;11;6;14;1;0;0;0;2;0;12;5;2;2;1;5;0;2;0;4
 ; ;0.010;0.014;0.043;0.000;0.000;0.091;0.038;0.000;0.029;0.000;0.014;0.455;0.000;0.000;0.014;0.000;0.000;0.053;0.029;0.067;0.005;0.000;0.000;0.000;0.010;0.000;0.057;0.024;0.010;0.010;0.005;0.024;0.000;0.010;0.000;0.019
E Bruta;25;0;0;4;0;0;5;0;0;0;0;0;5;0;0;1;0;0;3;1;1;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0
 ; ;0.000;0.000;0.160;0.000;0.000;0.200;0.000;0.000;0.040;0.000;0.000;0.200;0.000;0.000;0.040;0.000;0.000;0.120;0.040;0.040;0.040;0.000;0.000;0.000;0.000;0.000;0.040;0.000;0.000;0.040;0.000;0.040;0.000;0.040;0.000;0.000
B Bruta;250;3;5;11;0;0;13;13;0;0;0;3;108;2;0;13;0;0;11;5;19;1;0;0;0;1;0;13;7;6;3;2;5;0;2;0;4
 ; ;0.012;0.020;0.044;0.000;0.000;0.052;0.052;0.000;0.020;0.000;0.012;0.432;0.008;0.000;0.052;0.000;0.000;0.044;0.020;0.076;0.004;0.000;0.000;0.000;0.004;0.000;0.052;0.028;0.024;0.012;0.008;0.020;0.000;0.008;0.000;0.016
D Bruta;361;3;4;11;0;0;25;23;0;1;0;11;117;0;0;14;0;0;23;6;42;2;0;0;0;2;0;19;10;9;5;6;18;1;4;0;5
 ; ;0.008;0.011;0.030;0.000;0.000;0.069;0.064;0.000;0.017;0.000;0.030;0.324;0.000;0.000;0.039;0.000;0.000;0.064;0.017;0.116;0.006;0.000;0.000;0.000;0.006;0.000;0.053;0.028;0.025;0.014;0.017;0.050;0.003;0.011;0.000;0.014
I Bruta;396;3;9;10;0;0;22;28;0;1;0;4;228;2;0;5;0;0;11;6;33;1;0;0;0;1;0;21;0;2;1;0;0;2;2;0;4
 ; ;0.008;0.023;0.025;0.000;0.000;0.056;0.071;0.000;0.015;0.000;0.010;0.576;0.005;0.000;0.013;0.000;0.000;0.028;0.015;0.083;0.003;0.000;0.000;0.000;0.003;0.000;0.053;0.000;0.005;0.003;0.000;0.000;0.005;0.005;0.000;0.010
H Canonica;203;2;2;6;0;0;15;24;0;0;0;2;68;1;0;0;0;0;9;4;21;0;0;0;0;1;0;47;0;0;0;0;0;0;0;0;1
 ; ;0.010;0.010;0.030;0.000;0.000;0.074;0.118;0.000;0.020;0.000;0.010;0.335;0.005;0.000;0.000;0.000;0.000;0.044;0.020;0.103;0.000;0.000;0.000;0.000;0.005;0.000;0.232;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.005
A Canonica;386;3;1;7;0;0;19;42;0;0;0;4;162;0;0;2;0;0;8;6;37;0;0;0;0;1;0;91;0;0;0;0;0;0;1;0;2
 ; ;0.008;0.003;0.018;0.000;0.000;0.049;0.109;0.000;0.016;0.000;0.010;0.420;0.000;0.000;0.005;0.000;0.000;0.021;0.016;0.096;0.000;0.000;0.000;0.000;0.003;0.000;0.236;0.000;0.000;0.000;0.000;0.000;0.000;0.003;0.000;0.005
F Canonica;363;2;6;8;0;0;18;46;0;0;0;4;134;0;0;1;0;0;11;5;33;0;0;0;0;1;0;87;0;0;0;0;0;1;2;0;4
 ; ;0.006;0.017;0.022;0.000;0.000;0.050;0.127;0.000;0.014;0.000;0.011;0.369;0.000;0.000;0.003;0.000;0.000;0.030;0.014;0.091;0.000;0.000;0.000;0.000;0.003;0.000;0.240;0.000;0.000;0.000;0.000;0.000;0.003;0.006;0.000;0.011
G Canonica;66;2;1;5;0;0;9;7;0;0;0;0;14;1;0;0;0;0;6;3;6;0;0;0;0;1;0;10;0;0;0;0;0;0;0;0;1
 ; ;0.030;0.015;0.076;0.000;0.000;0.136;0.106;0.000;0.045;0.000;0.000;0.212;0.015;0.000;0.000;0.000;0.000;0.091;0.045;0.091;0.000;0.000;0.000;0.000;0.015;0.000;0.152;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.015
C Canonica;318;2;3;8;0;0;19;35;0;0;0;3;121;0;0;0;0;0;11;6;24;0;0;0;0;1;0;79;0;0;0;0;0;0;2;0;4
 ; ;0.006;0.009;0.025;0.000;0.000;0.060;0.110;0.000;0.019;0.000;0.009;0.381;0.000;0.000;0.000;0.000;0.000;0.035;0.019;0.075;0.000;0.000;0.000;0.000;0.003;0.000;0.248;0.000;0.000;0.000;0.000;0.000;0.000;0.006;0.000;0.013
E Canonica;35;0;0;4;0;0;5;4;0;0;0;0;8;0;0;0;0;0;3;1;3;0;0;0;0;0;0;6;0;0;0;0;0;0;1;0;0
 ; ;0.000;0.000;0.114;0.000;0.000;0.143;0.114;0.000;0.029;0.000;0.000;0.229;0.000;0.000;0.000;0.000;0.000;0.086;0.029;0.086;0.000;0.000;0.000;0.000;0.000;0.000;0.171;0.000;0.000;0.000;0.000;0.000;0.000;0.029;0.000;0.000
B Canonica;394;3;5;11;0;0;13;46;0;0;0;3;152;2;0;0;0;0;11;5;34;0;0;0;0;1;0;102;0;0;0;0;0;0;2;0;4
 ; ;0.008;0.013;0.028;0.000;0.000;0.033;0.117;0.000;0.013;0.000;0.008;0.386;0.005;0.000;0.000;0.000;0.000;0.028;0.013;0.086;0.000;0.000;0.000;0.000;0.003;0.000;0.259;0.000;0.000;0.000;0.000;0.000;0.000;0.005;0.000;0.010
