list;word;pos
A;or;CC
A;but;CC
A;and;CC
A;one;CD
A;a;DT
A;the;DT
A;this;DT
A;all;DT
A;every;DT
A;there;NN
A;there;RB
A;get;NN
A;get;VB
A;in;IN
A;of;IN
A;for;IN
A;on;IN
A;at;IN
A;about;IN
A;because;IN
A;old;NN
A;old;JJ
A;if;IN
A;today;NN
A;today;RB
A;from;IN
A;as;IN
A;would;MD
A;by;IN
A;out;IN
A;potato;NN
A;over;IN
A;after;IN
A;what;WP
A;like;IN
A;have;NN
A;have;VB
A;dear;NN
A;dear;JJ
A;dear;RB
A;good;NN
A;good;JJ
A;good;RB
A;think;NN
A;think;VB
A;thing;NN
A;people;NN
A;people;VB
A;money;NN
A;live;VB
A;live;JJ
A;live;RB
A;shopping;NN
A;shop;VB
A;eat;VB
A;great;NN
A;great;JJ
A;anymore;RB
A;collect;NN
A;collect;VB
A;collect;JJ
A;collect;RB
A;when;WRB
A;with;IN
A;start;VB
A;loneliness;NN
A;full;NN
A;full;VB
A;full;JJ
A;full;RB
A;celebrate;VB
A;up;VB
A;up;JJ
A;up;RB
A;holiday;NN
A;holiday;VB
A;football;NN
A;soon;RB
A;school;NN
A;school;VB
A;now;NN
A;now;RB
A;usually;RB
A;decide;VB
A;decided;JJ
A;feast;NN
A;feast;VB
A;picture;NN
A;picture;VB
A;together;JJ
A;together;RB
A;bye;NN
A;tomorrow;NN
A;tomorrow;RB
A;name;NN
A;name;VB
A;drainage;NN
A;high;NN
A;high;JJ
A;high;RB
A;level;NN
A;level;VB
A;level;JJ
A;square;NN
A;square;VB
A;square;JJ
A;square;RB
A;dry;NN
A;dry;VB
A;dry;JJ
A;be;VB
A;rock;NN
A;rock;VB
A;earth;NN
A;earth;VB
A;forest;NN
A;forest;VB
A;will;MD
A;can;MD
A;could;MD
A;we;PRP
A;you;PRP
A;my;PRP$
A;penpal;NN
A;do;NN
A;do;VB
A;how;WRB
A;wa;NN
A;that;IN
A;me;PRP
A;love;NN
A;love;VB
A;reading;NN
A;read;VB
A;be;NN
A;hope;NN
A;hope;VB
A;dad;NN
A;play;NN
A;play;VB
A;want;NN
A;want;VB
A;year;NN
A;math;NN
A;not;RB
A;friend;NN
A;they;PRP
A;very;JJ
A;very;RB
A;also;RB
A;come;NN
A;come;VB
A;family;NN
A;cello;NN
A;middle;NN
A;middle;VB
A;middle;JJ
A;write;VB
A;city;NN
A;read;NN
A;then;NN
A;then;JJ
A;then;RB
A;here;NN
A;here;JJ
A;here;RB
A;lucky;JJ
A;men;NN
A;place;NN
A;place;VB
A;vacation;NN
A;vacation;VB
A;teacher;NN
A;state;NN
A;state;VB
A;time;NN
A;time;VB
A;day;NN
A;park;NN
A;park;VB
A;them;PRP
A;cant;NN
A;cant;VB
A;lot;NN
A;lot;VB
A;lots;RB
A;care;NN
A;care;VB
A;sock;NN
A;sock;VB
A;book;NN
A;book;VB
A;soccer;NN
A;meet;VB
A;arm;NN
A;arm;VB
A;chewing;NN
A;chew;VB
A;dog;NN
A;dog;VB
A;mother;NN
A;mother;VB
A;carry;NN
A;carry;VB
A;afraid;JJ
A;art;NN
A;always;RB
A;grandpa;NN
A;to;TO
A;your;PRP$
A;mat;NN
A;mat;VB
A;mat;JJ
A;pilgrim;NN
A;some;DT
A;fun;NN
A;turkey;NN
A;pen;NN
A;pen;VB
A;tell;NN
A;tell;VB
A;corner;NN
A;corner;VB
A;corn;NN
A;corn;VB
A;it;PRP
A;no;DT
A;something;NN
A;slip;NN
A;slip;VB
A;center;NN
A;center;VB
A;center;JJ
A;know;NN
A;know;VB
A;home;NN
A;home;VB
A;home;JJ
A;home;RB
A;pie;NN
A;going;NN
A;go;VB
A;going;JJ
A;house;NN
A;house;VB
A;drive;NN
A;drive;VB
A;pumpkin;NN
A;fourth;NN
A;fourth;JJ
A;fourth;RB
A;maybe;RB
A;her;PRP$
A;roll;NN
A;roll;VB
A;she;PRP
A;dinner;NN
A;change;NN
A;change;VB
A;food;NN
A;stuff;NN
A;stuff;VB
A;well;NN
A;well;VB
A;well;JJ
A;well;RB
A;big;JJ
A;big;RB
A;race;NN
A;race;VB
A;glad;NN
A;glad;JJ
A;end;NN
A;end;VB
A;cute;JJ
A;watch;NN
A;watch;VB
A;suddenly;RB
A;doe;NN
A;many;JJ
A;climate;NN
A;above;IN
A;sea;NN
A;butte;NN
A;butt;VB
A;call;VB
A;mall;NN
A;much;NN
A;much;JJ
A;much;RB
A;hill;NN
A;hill;VB
A;kind;NN
A;kind;JJ
A;flow;NN
A;flow;VB
A;fall;NN
A;fall;VB
A;dust;NN
A;dust;VB
A;bowl;NN
A;bowl;VB
A;area;NN
A;grow;VB
A;found;NN
A;find;VB
A;found;JJ
A;crop;NN
A;crop;VB
A;circle;NN
A;circle;VB
A;I;PRP
A;Lincoln;NN
A;am;NN
A;december;NN
A;Mrs;NN
A;november;NN
A;thanksgiving;NN
A;christmas;NN
A;Meadow;NN
A;Lane;NN
A;Nebraska;NN
A;Lancaster;NN
A;Indians;NNS
A;Indianapolis;NNS
A;thursday;NN
A;Nebraskas;NN
A;mom;NN
A;beet;NN
A;car;NN
A;foot;NN
A;mile;NN
A;field;NN
A;field;VB
A;our;PRP$
A;their;PRP$
A;his;PRP$
A;so;NN
A;so;RB
A;just;JJ
A;just;RB
A;dentist;NN
A;alot;NN
A;long;VB
A;long;JJ
A;long;RB
A;ago;JJ
A;ago;RB
A;too;RB
A;favorite;NN
A;favorite;JJ
A;go;NN
A;go;JJ
A;mix;NN
A;mix;VB
A;put;NN
A;put;VB
A;start;NN
A;china;NN
A;elevation;NN
A;make;VB
A;made;JJ
A;are;NN
A;fine;NN
A;fine;VB
A;fine;JJ
A;fine;RB
A;outside;IN
A;see;NN
A;see;VB
A;hobby;NN
A;disadvantage;NN
A;disadvantage;VB
A;cranberry;NN
