list;word;pos
A;or;CC
A;but;CC
A;and;CC
A;one;CD
A;a;DT
A;the;DT
A;this;DT
A;all;DT
A;every;DT
A;there;RB
A;get;VB
A;in;IN
A;of;IN
A;for;IN
A;on;IN
A;at;IN
A;about;IN
A;because;IN
A;old;JJ
A;if;IN
A;today;NN
A;from;IN
A;as;IN
A;would;MD
A;by;IN
A;of;IN
A;out;IN
A;potatoes;NNS
A;over;IN
A;after;IN
A;what;WP
A;like;IN
A;have;VB
A;dear;NN
A;good;JJ
A;think;NN
A;things;NNS
A;people;NNS
A;money;NN
A;live;JJ
A;shopping;NN
A;eat;NN
A;great;JJ
A;anymore;RB
A;collect;NN
A;and;CC
A;a;DT
A;when;WRB
A;would;MD
A;about;IN
A;with;IN
A;one;CD
A;started;VBN
A;loneliness;NN
A;good;JJ
A;full;JJ
A;celebrate;NN
A;up;RB
A;holiday;NN
A;football;NN
A;soon;RB
A;school;NN
A;now;RB
A;usually;RB
A;decided;VBD
A;feast;NN
A;picture;NN
A;together;RB
A;bye;NN
A;tomorrow;NN
A;name;NN
A;drainage;NN
A;high;JJ
A;level;NN
A;square;NN
A;dry;NN
A;were;VBD
A;rocks;NNS
A;earth;NN
A;forest;NN
A;will;MD
A;can;MD
A;could;MD
A;we;PRP
A;you;PRP
A;my;PRP$
A;like;IN
A;school;NN
A;name;NN
A;penpal;NN
A;do;VB
A;how;WRB
A;was;VBD
A;that;IN
A;me;PRP
A;but;CC
A;get;VB
A;love;NN
A;reading;NN
A;with;IN
A;be;VB
A;hope;NN
A;dad;NN
A;play;NN
A;want;NN
A;year;NN
A;math;NN
A;do;VB
A;not;RB
A;friend;NN
A;they;PRP
A;very;RB
A;also;RB
A;come;VB
A;family;NN
A;cello;NN
A;middle;NN
A;write;NN
A;city;NN
A;read;NN
A;then;RB
A;here;RB
A;lucky;JJ
A;men;NNS
A;place;NN
A;vacation;NN
A;teacher;NN
A;state;NN
A;time;NN
A;day;NN
A;were;VBD
A;soon;RB
A;parks;NNS
A;them;PRP
A;cant;NN
A;lots;NNS
A;care;NN
A;sock;NN
A;book;NN
A;soccer;NN
A;met;NN
A;arms;NNS
A;park;NN
A;chewing;VBG
A;dog;NN
A;mother;NN
A;carry;NN
A;lot;NN
A;afraid;NN
A;art;NN
A;always;RB
A;grandpa;NN
A;to;TO
A;is;VBZ
A;your;PRP$
A;dear;NN
A;there;RB
A;mat;NN
A;pilgrims;NNS
A;some;DT
A;fun;NN
A;eat;NN
A;turkey;NN
A;pen;VB
A;had;VBD
A;tell;NN
A;from;IN
A;corner;NN
A;corn;NN
A;family;NN
A;it;PRP
A;is;VBZ
A;no;DT
A;could;MD
A;something;NN
A;slip;NN
A;center;NN
A;know;VB
A;home;NN
A;came;VBD
A;pie;NN
A;going;VBG
A;house;NN
A;drive;NN
A;pumpkin;NN
A;fourth;JJ
A;maybe;RB
A;could;MD
A;not;RB
A;money;NN
A;think;NN
A;her;PRP$
A;will;MD
A;rolls;NNS
A;she;PRP
A;dinner;NN
A;changes;NNS
A;food;NN
A;stuff;NN
A;well;RB
A;big;JJ
A;race;NN
A;glad;NN
A;end;NN
A;cute;NN
A;watch;NN
A;suddenly;RB
A;of;IN
A;does;VBZ
A;have;VB
A;about;IN
A;many;JJ
A;climate;NN
A;above;IN
A;sea;NN
A;buttes;NNS
A;called;VBN
A;would;MD
A;mall;NN
A;much;JJ
A;state;NN
A;hill;NN
A;years;NNS
A;kind;NN
A;flow;NN
A;fall;NN
A;dust;NN
A;bowl;NN
A;area;NN
A;can;MD
A;grow;NN
A;found;NN
A;crops;NNS
A;circles;NNS
A;I;PRP
A;Lincoln;NN
A;I;PRP
A;am;VBP
A;december;NN
A;Mrs;NN
A;november;NN
A;thanksgiving;VBG
A;christmas;NN
A;know;VB
A;Meadow;NN
A;Lane;NN
A;Nebraska;NN
A;Lancaster;NN
A;Indians;NNS
A;Indianapolis;NNS
A;thursday;NN
A;Nebraskas;NN
A;mom;NN
A;changes;NNS
A;things;NNS
A;crops;NNS
A;beets;NNS
A;cars;NNS
A;friends;NNS
A;how;WRB
A;feet;NNS
A;miles;NNS
A;falls;NNS
A;fields;NNS
A;all;DT
A;it;PRP
A;she;PRP
A;I;PRP
A;we;PRP
A;they;PRP
A;our;PRP$
A;her;PRP$
A;their;PRP$
A;his;PRP$
A;your;PRP$
A;one;CD
A;years;NNS
A;so;RB
A;well;RB
A;just;RB
A;not;RB
A;over;IN
A;dentists;NNS
A;alot;NN
A;long;RB
A;ago;RB
A;too;RB
A;fun;NN
A;up;RB
A;out;IN
A;to;TO
A;and;CC
A;is;VBZ
A;doing;VBG
A;favorite;NN
A;called;VBN
A;home;NN
A;the;DT
A;get;VB
A;go;VB
A;be;VB
A;do;VB
A;not;RB
A;rocks;NNS
A;come;VB
A;butte;NN
A;flow;NN
A;had;VBD
A;house;NN
A;got;VBD
A;some;DT
A;did;VBD
A;mix;NN
A;was;VBD
A;put;NN
A;start;NN
A;china;NN
A;going;VBG
A;elevation;NN
A;now;RB
A;when;WRB
A;been;VBN
A;because;IN
A;called;VBN
A;made;VBN
A;are;VBP
A;go;VB
A;fine;NN
A;outside;IN
A;out;IN
A;see;VB
A;tell;NN
A;have;VB
A;hobby;NN
A;carry;NN
A;love;NN
A;am;VBP
A;disadvantage;NN
A;cranberries;NNS
A;summer;NN
A;know;VB
A;when;WRB
A;begin;NN
A;flat;JJ
A;famous;JJ
A;has;VBZ
A;it;PRP
A;is;VBZ
A;coins;NNS
A;is;VBZ
A;yes;NNS
A;what;WP
B;I;PRP
B;to;TO
B;is;VBZ
B;you;PRP
B;the;DT
B;a;DT
B;it;PRP
B;this;DT
B;not;RB
B;yes;NNS
B;that;IN
B;my;PRP$
B;am;VBP
B;here;RB
B;and;CC
B;no;DT
B;one;CD
B;going;VBG
B;do;VB
